WKT,name,description
"POINT (31.8435605 52.0729097)",Shelling,
"POINT (34.2451542 51.8556287)",Shelling,
"POINT (36.4346203 50.170218)",Shelling,
"POINT (36.4143642 50.1626308)",Shelling,
"POINT (36.3947948 50.1631806)",Shelling,
"POINT (36.2785801 50.1693384)",Shelling,
"POINT (36.3081058 50.1827507)",Shelling,
"POINT (36.2940296 50.1981373)",Shelling,
"POINT (36.1356222 50.3682067)",Shelling,
"POINT (36.141287 50.3560512)",Shelling,
"POINT (36.1351072 50.3374288)",Shelling,
"POINT (36.121031 50.3490413)",Shelling,
"POINT (36.4712834 50.1302012)",Shelling,
"POINT (36.4573789 50.1352629)",Shelling,
"POINT (36.4376378 50.1414242)",Shelling,
"POINT (36.4240766 50.1464847)",Shelling,
"POINT (36.3959241 50.1459347)",Shelling,
"POINT (36.4154935 50.1222775)",Shelling,
"POINT (36.562779 50.1066463)",Shelling,
"POINT (36.5555711 50.120674)",Shelling,
"POINT (36.5257001 50.1119306)",Shelling,
"POINT (36.5143705 50.1275601)",Shelling,
"POINT (36.225121 50.2358354)",Shelling,
"POINT (36.2319875 50.2255131)",Shelling,
"POINT (36.2488103 50.2226576)",Shelling,
"POINT (36.2579084 50.2296862)",Shelling,
"POINT (36.2754178 50.2138704)",Shelling,
"POINT (36.8100835 50.1526461)",Shelling,
"POINT (36.8109418 50.1464861)",Shelling,
"POINT (36.8040753 50.1446161)",Shelling,
"POINT (36.7913724 50.1484662)",Shelling,
"POINT (36.074905 50.3116799)",Shelling,
"POINT (36.07336 50.3020319)",Shelling,
"POINT (36.3029895 50.1457238)",Shelling,
"POINT (36.274837 50.1448437)",Shelling,
"POINT (36.7485087 49.6487521)",Shelling,
"POINT (36.7793403 49.6513049)",Shelling,
"POINT (36.7597709 49.6152822)",Shelling,
"POINT (36.6781381 49.8290461)",Shelling,
"POINT (36.714455 49.8429623)",Shelling,
"POINT (36.0961463 50.3172443)",Shelling,
"POINT (36.1026694 50.3303959)",Shelling,
"POINT (36.1184622 50.3284234)",Shelling,
"POINT (36.1915776 50.2161184)",Shelling,
