WKT,name,description
"POINT (34.6196166 47.5028879)",Kamikaze Drone,
"POINT (35.4437203 46.9532557)",Missile Strike,Russian Base Destroyed
"POINT (39.3092854 48.6251394)",Missile Strike on Warehouse,
"POINT (33.2747635 47.0300076)",Ammo Depot Destroyed,
"POINT (37.6458802 47.9264905)",Ammo Warehouse Destroyed,
"POINT (36.2849269 49.9634486)",Missile Strike,
"POINT (36.3779289 49.9561968)",Missile Strike,
"POINT (32.0598366 46.9605876)",Missile Strike,
"POINT (32.0430137 46.9609393)",Missile Strike,
"POINT (38.2599265 48.7665616)",Air Strike,
"POINT (38.1426123 48.9212821)",Air Strike,
"POINT (38.220101 48.7252643)",Air Strike,
"POINT (38.1382031 48.5168773)",Air Strike,
"POINT (35.6749787 47.54043)",Su-25 Air Strike,
"POINT (33.3783111 47.4395605)",Air Strike,
"POINT (38.1568122 48.7115508)",Air Strike,
"LINESTRING (38.248281 48.8045356, 38.2360072 48.8054401, 38.2283683 48.8100188, 38.2362647 48.8125623, 38.2491393 48.8091709, 38.2464785 48.8112058, 38.2455344 48.8086622, 38.2493968 48.8090579)",Russian Attack, Repelled with heavy losses,When trying to advance in the direction of Spirne - Ivano-Daryivka, the enemy suffered losses from the dagger fire of our defenders and retreated chaotically.
"LINESTRING (36.2322927 50.2532852, 36.2307478 50.2430765, 36.2350393 50.2357204, 36.2424207 50.2412101, 36.2420774 50.2531754, 36.2449957 50.2493337, 36.2391592 50.2493337, 36.2419058 50.2531754)",Russian Attack, Repelled,The occupiers tried to dislodge our troops from the Dementiivka district. But our soldiers successfully repelled several assaults on the mentioned village and forced the enemy to retreat.
"LINESTRING (37.3546054 48.989409, 37.3716724 48.9737445, 37.3642183 48.9765661, 37.3700546 48.9798335, 37.3716724 48.9737445)",Russian Advance,
"LINESTRING (37.4398332 49.0134976, 37.4339845 49.0006027, 37.4326235 49.0041518, 37.4381338 49.0031722, 37.4339845 49.0006027)",Russian Attack,
"LINESTRING (37.1072868 49.2727333, 37.0830825 49.2862837, 37.0920089 49.2844921, 37.0861724 49.2813567, 37.0829109 49.2862837)",Russian recon,
"LINESTRING (38.1999269 48.6646292, 38.1496301 48.6650827, 38.1578699 48.6672368, 38.1578699 48.6625884, 38.1499734 48.6650827)",Russian Attack,
"LINESTRING (37.3353446 48.9920303, 37.3379231 48.9732222, 37.3332885 48.9787412, 37.3406677 48.9795306, 37.3380947 48.9731095)",Russian Attack,
"LINESTRING (37.3891532 48.9959658, 37.4144862 48.9920342, 37.4052151 48.9901189, 37.4072752 48.99654, 37.4144862 48.9920342)",Russian Attack,
"LINESTRING (36.1430932 50.33336, 36.1070443 50.3313876, 36.1127092 50.3334695, 36.1132241 50.3298534, 36.107216 50.331278)",Russian Attack,
"LINESTRING (37.4777551 49.033846, 37.5086542 49.0167365, 37.5052366 49.0219884, 37.5002428 49.0182, 37.5088258 49.0167365)",Russian Attack,
"POINT (32.6455862 52.2517977)",Shelling,
"POINT (34.1367372 51.3785857)",Shelling,
"POINT (32.3832462 52.2166113)",Shelling,
"POINT (34.1543301 51.6226577)",Shelling,
"POINT (36.4659593 50.1309787)",Shelling,
"POINT (36.4353249 50.1370338)",Shelling,
"POINT (36.3882897 50.144295)",Shelling,
"POINT (36.4102624 50.1231684)",Shelling,
"POINT (36.4404747 50.108198)",Shelling,
"POINT (36.1331023 50.1810168)",Shelling,
"POINT (36.1135329 50.1665044)",Shelling,
"POINT (36.2490073 50.2297816)",Shelling,
"POINT (36.2282027 50.2363873)",Shelling,
"POINT (36.2674206 50.1305625)",Shelling,
"POINT (36.2856154 50.1261605)",Shelling,
"POINT (36.2708525 50.108549)",Shelling,
"POINT (36.1455397 50.1944115)",Shelling,
"POINT (36.1712889 50.2075971)",Shelling,
"POINT (36.1427931 50.229565)",Shelling,
"POINT (36.200128 50.2515227)",Shelling,
"POINT (36.1953215 50.2328593)",Shelling,
"POINT (36.1706022 50.2475711)",Shelling,
"POINT (36.1644224 50.2249526)",Shelling,
"POINT (35.9580855 50.2556935)",Shelling,
"POINT (35.9807448 50.2671066)",Shelling,
"POINT (35.974565 50.2864147)",Shelling,
"POINT (37.5240888 49.014781)",Shelling,
"POINT (37.5033908 49.0043999)",Shelling,
"POINT (37.4998846 48.9938355)",Shelling,
"POINT (37.4898295 49.0058638)",Shelling,
"POINT (37.464252 48.9900964)",Shelling,
"POINT (37.4669394 48.983788)",Shelling,
"POINT (37.386103 48.9722148)",Shelling,
"POINT (37.4055008 48.9746938)",Shelling,
"POINT (37.4212936 48.9758206)",Shelling,
"POINT (37.3927978 48.9885512)",Shelling,
"POINT (37.3965744 48.9802148)",Shelling,
"POINT (37.549868 49.0067965)",Shelling,
"POINT (37.3317494 48.9807335)",Shelling,
"POINT (37.3681416 48.9694659)",Shelling,
"POINT (37.3531334 48.9764977)",Shelling,
"POINT (37.3338093 48.9731845)",Shelling,
"POINT (37.2473396 48.9800891)",Shelling,
"POINT (37.2166646 48.9825734)",Shelling,
"POINT (37.2108281 48.9985684)",Shelling,
"POINT (37.2453321 48.9736725)",Shelling,
"POINT (37.4585355 48.9507933)",Shelling,
"POINT (37.4530835 48.940834)",Shelling,
"POINT (37.0752366 48.8965246)",Shelling,
"POINT (37.039016 48.8983303)",Shelling,
"POINT (37.0944627 48.8906559)",Shelling,
"POINT (37.0144684 48.9055521)",Shelling,
"POINT (37.0015071 49.1146186)",Shelling,
"POINT (36.9865725 49.1139445)",Shelling,
"POINT (36.9937823 49.0987733)",Shelling,
"POINT (36.9371691 49.3144928)",Shelling,
"POINT (36.9055834 49.319864)",Shelling,
"POINT (36.9298173 49.3327573)",Shelling,
"POINT (36.9428635 49.3311912)",Shelling,
"POINT (37.7365519 48.8959493)",Shelling,
"POINT (37.724364 48.9149053)",Shelling,
"POINT (37.7387835 48.9096029)",Shelling,
"POINT (37.7890454 48.8876426)",Shelling,
"POINT (37.8020916 48.8911415)",Shelling,
"POINT (37.5743856 48.9501799)",Shelling,
"POINT (37.5897493 48.9470797)",Shelling,
"POINT (37.5919809 48.9551963)",Shelling,
"POINT (37.599534 48.9613392)",Shelling,
"POINT (37.6174726 48.9507999)",Shelling,
"POINT (37.6368704 48.9435282)",Shelling,
"POINT (37.9066817 48.8725873)",Shelling,
"POINT (37.8951804 48.8850056)",Shelling,
"POINT (37.7022736 48.9293429)",Shelling,
"POINT (37.6861375 48.9387027)",Shelling,
"POINT (38.126089 48.8699574)",Shelling,
"POINT (38.0625743 48.8498547)",Shelling,
"POINT (38.075551 48.8443812)",Shelling,
"POINT (38.0848198 48.8808197)",Shelling,
"POINT (38.1016084 48.8529734)",Shelling,
"POINT (38.05337 48.84709)",Shelling,
"POINT (38.2024699 48.8401855)",Shelling,
"POINT (38.2262449 48.8593039)",Shelling,
"POINT (38.1897669 48.8587109)",Shelling,
"POINT (38.2177477 48.8548709)",Shelling,
"POINT (38.2881289 48.8396206)",Shelling,
"POINT (38.43188 48.8466426)",Shelling,
"POINT (38.442008 48.8449481)",Shelling,
"POINT (38.1494086 48.7031561)",Shelling,
"POINT (38.13734 48.67888)",Shelling,
"POINT (38.14212 48.66699)",Shelling,
"POINT (38.15857 48.51186)",Shelling,
"POINT (37.3651169 48.8954456)",Shelling,
"POINT (36.93117 49.08155)",Shelling,
"POINT (36.8707644 49.7233325)",Shelling,
"POINT (38.2388968 48.8007798)",Shelling,
"POINT (38.2330604 48.8173983)",Shelling,
"POINT (38.2270522 48.8036065)",Shelling,
"POINT (38.2169242 48.7975007)",Shelling,
"POINT (38.1944283 48.8249011)",Shelling,
"POINT (38.2064528 48.8140072)",Shelling,
"POINT (38.160479 48.7060012)",Shelling,
"POINT (38.1517244 48.7197066)",Shelling,
"POINT (38.2650901 48.7505359)",Shelling,
"POINT (38.2787569 48.7616552)",Shelling,
"POINT (38.2415066 48.7546397)",Shelling,
"POINT (38.2538168 48.749402)",Shelling,
"POINT (38.2296213 48.7227138)",Shelling,
"POINT (38.2421526 48.7262243)",Shelling,
"POINT (38.2189783 48.7308668)",Shelling,
"POINT (38.1156524 48.6768997)",Shelling,
"POINT (38.0947097 48.6809801)",Shelling,
