WKT,name,description
"POINT (32.00731 46.66632)",Shelling,
"POINT (32.1882 46.73177)",Shelling,
"POINT (32.30986 46.75101)",Shelling,
"POINT (32.30544 46.76129)",Shelling,
"POINT (32.32362 46.76491)",Shelling,
"POINT (32.32927 46.78661)",Shelling,
"POINT (32.65947 46.92937)",Shelling,
"POINT (32.49125 47.07907)",Shelling,
"POINT (32.45766 47.00046)",Shelling,
"POINT (32.25042 47.0163)",Shelling,
"POINT (32.24381 47.01586)",Shelling,
"POINT (32.2235 47.03487)",Shelling,
"POINT (32.7945242 47.0050778)",Shelling,
"POINT (32.7862845 47.003556)",Shelling,
"POINT (32.8635276 46.9899377)",Shelling,
"POINT (32.9398039 47.2654522)",Shelling,
"POINT (32.7547529 47.3020174)",Shelling,
"POINT (32.9094174 47.3612005)",Shelling,
"POINT (32.9262888 47.3361865)",Shelling,
"POINT (33.00562 47.20332)",Shelling,
"POINT (33.108249 47.0533601)",Shelling,
"POINT (33.39349 47.60191)",Shelling,
"POINT (33.64621 47.10176)",Shelling,
"POINT (32.2621 46.59821)",Shelling,
"POINT (32.26829 46.59576)",Shelling,
"POINT (32.30424 46.60179)",Shelling,
"POINT (32.52467 46.66053)",Shelling,
"POINT (32.87517 46.83538)",Shelling,
"POINT (36.19481 47.64395)",Shelling,
"POINT (36.60289 47.78618)",Shelling,
"POINT (37.89158 48.53267)",Shelling,
"POINT (38.27074 48.37815)",Shelling,
"POINT (38.26166 48.38302)",Shelling,
"POINT (37.99965 48.89502)",Shelling,
"POINT (38.04323 48.89594)",Shelling,
"POINT (38.04573 48.90445)",Shelling,
"POINT (38.03849 48.90184)",Shelling,
"POINT (36.6257 49.71408)",Shelling,
"POINT (38.06354 48.34827)",Shelling,
"POINT (36.795518 50.0757709)",Shelling,
"POINT (36.79805 50.0742836)",Shelling,
"POINT (32.4708034 47.3451472)",Shelling,
"POINT (32.2211903 47.2517757)",Shelling,
"POINT (33.3902189 47.4623077)",Shelling,
"POINT (33.3902189 47.478089)",Shelling,
"POINT (33.3946821 47.4562725)",Shelling,
"POINT (33.1752217 47.2981539)",Shelling,
"POINT (33.1707585 47.2916341)",Shelling,
"POINT (33.6982846 47.4339828)",Shelling,
"POINT (33.7135518 47.4280328)",Shelling,
"POINT (32.5144225 47.0795306)",Shelling,
"POINT (32.7701334 47.141333)",Shelling,
"POINT (32.760692 47.1360784)",Shelling,
"POINT (32.3002439 46.7966242)",Shelling,
"POINT (32.2841077 46.7869869)",Shelling,
"POINT (32.2381024 46.7841659)",Shelling,
"POINT (33.0507474 47.1725341)",Shelling,
"POINT (33.0363278 47.1746345)",Shelling,
"POINT (33.0526357 47.1812854)",Shelling,
"POINT (32.2217019 46.7764774)",Shelling,
"POINT (32.2026475 46.7666013)",Shelling,
"POINT (32.2215302 46.7708342)",Shelling,
"POINT (32.1384461 46.7283732)",Shelling,
"POINT (32.1528657 46.7244901)",Shelling,
"POINT (32.3137752 46.9328994)",Shelling,
"POINT (32.299699 46.9228175)",Shelling,
"POINT (32.2426088 46.8694246)",Shelling,
"POINT (32.128969 46.7574652)",Shelling,
"POINT (32.1207292 46.7727515)",Shelling,
"POINT (31.98649 46.7447626)",Shelling,
"POINT (31.9799669 46.7327629)",Shelling
,
"POINT (32.4740084 46.9956709)",Shelling,
"POINT (32.3771913 46.9699066)",Shelling,
"POINT (32.3689516 46.9563168)",Shelling,
"POINT (33.0692886 47.2212847)",Shelling,
"POINT (33.0618213 47.2168542)",Shelling,
"POINT (32.0360942 46.959588)",Shelling,
"POINT (32.0841594 46.9539639)",Shelling,
"POINT (32.7902355 47.3823723)",Shelling,
"POINT (32.7761592 47.3747004)",Shelling,
"POINT (37.6846182 48.0680493)",Shelling,
"POINT (37.6829159 48.0570859)",Shelling,
"POINT (37.6719295 48.0449224)",Shelling,
"POINT (37.7814495 48.1107547)",Shelling,
"POINT (37.8006756 48.1183189)",Shelling,
"POINT (37.7031719 48.1719238)",Shelling,
"POINT (37.7186214 48.1570391)",Shelling,
"POINT (37.76394 48.128861)",Shelling,
