WKT,name,description
"POINT (32.148199 46.567937)",U Shelling,
"POINT (32.198324 46.594366)",U Shelling,
"POINT (32.124853 46.605689)",U Shelling,
"POINT (32.107635 46.61628)",U Shelling,
"POINT (32.296849 46.688391)",U Shelling,
"POINT (32.303029 46.732178)",U Shelling,
"POINT (32.376468 46.882401)",U Shelling,
"POINT (32.380588 46.893663)",U Shelling,
"POINT (32.468135 46.923919)",U Shelling,
"POINT (32.485301 46.964703)",U Shelling,
"POINT (32.551563 46.979228)",U Shelling,
"POINT (32.7788 46.987801)",U Shelling,
"POINT (32.700523 47.033684)",U Shelling,
"POINT (32.653831 47.051933)",U Shelling,
"POINT (32.771247 47.060353)",U Shelling,
"POINT (32.683199 47.06395)",U Shelling,
"POINT (32.835105 47.065031)",U Shelling,
"POINT (32.788413 47.072981)",U Shelling,
"POINT (33.146438 47.138277)",U Shelling,
"POINT (33.092169 47.152835)",U Shelling,
"POINT (33.106612 47.15649)",U Shelling,
"POINT (33.206176 47.15742)",U Shelling,
"POINT (33.215125 47.270781)",U Shelling,
"POINT (33.290656 47.299194)",U Shelling,
"POINT (33.356433 47.35648)",U Shelling,
"POINT (35.95148 47.3633)",U Shelling,
"POINT (33.72913 47.379541)",U Shelling,
"POINT (33.68545 47.402186)",U Shelling,
"POINT (35.81002 47.4158)",U Shelling,
"POINT (33.414252 47.420128)",U Shelling,
"POINT (33.458911 47.42013)",U Shelling,
"POINT (35.426877 47.429772)",U Shelling,
"POINT (33.404639 47.434528)",U Shelling,
"POINT (35.310147 47.437204)",U Shelling,
"POINT (36.225529 47.470121)",U Shelling,
"POINT (36.64766 47.4704)",U Shelling,
"POINT (36.344319 47.471049)",U Shelling,
"POINT (36.38285 47.5335)",U Shelling,
"POINT (37.34017 47.578)",U Shelling,
"POINT (37.22445 47.6052)",U Shelling,
"POINT (36.72792 47.6622)",U Shelling,
"POINT (37.6335 47.681)",U Shelling,
"POINT (37.58456 47.6875)",U Shelling,
"POINT (36.72995 47.6945)",U Shelling,
"POINT (37.254566 47.704373)",U Shelling,
"POINT (37.243138 47.713699)",U Shelling,
"POINT (37.258244 47.728019)",U Shelling,
"POINT (37.64906 47.7581)",U Shelling,
"POINT (36.735231 47.769455)",U Shelling,
