WKT,name,description
"LINESTRING (38.025582 49.1340164, 37.9788317 49.1286583, 37.9866604 49.1332684, 37.9788317 49.1286583, 37.9890759 49.1259604)",Russian Attack,
"LINESTRING (37.5276832 47.9201496, 37.4820392 47.9147926, 37.4899417 47.9195263, 37.4820392 47.9147926, 37.49194 47.9121789)",Russian Attack,
"LINESTRING (38.0334414 49.0313619, 37.9867875 49.0260039, 37.9946001 49.0306139, 37.9867875 49.0260039, 37.9970106 49.0233059)",Russian Attack,
"LINESTRING (37.570105 47.92888 0.0, 37.519868 47.938773 0.0, 37.531182 47.940398 0.0, 37.519868 47.938773 0.0, 37.528161 47.933158 0.0)",Russian Attack,
"LINESTRING (37.582819 47.987964 0.0, 37.532525 47.997856 0.0, 37.543541 47.999487 0.0, 37.532525 47.997856 0.0, 37.541195 47.992341 0.0)",Russian Attack,
"LINESTRING (38.055659 48.520305 0.0, 38.032681 48.544861 0.0, 38.033607 48.537267 0.0, 38.032681 48.544861 0.0, 38.04236 48.541512 0.0)",Russian Attack,
"LINESTRING (37.9542657 49.5639912, 37.9108104 49.5454394, 37.926621 49.546498, 37.9108104 49.5454394, 37.9176233 49.5546116)",Russian Attack,
"LINESTRING (38.027287 49.100309 0.0, 37.980569 49.094951 0.0, 37.988392 49.099561 0.0, 37.980569 49.094951 0.0, 37.990806 49.092253 0.0)",Russian Attack,
"LINESTRING (38.1482027 48.6595793, 38.101893 48.6542223, 38.1096487 48.6588313, 38.101893 48.6542223, 38.1120407 48.6515233)",Russian Attack,
"LINESTRING (38.084883 48.565423 0.0, 38.034018 48.575316 0.0, 38.042878 48.569398 0.0, 38.034018 48.575316 0.0, 38.046144 48.57708 0.0)",Russian Attack,
"LINESTRING (37.841692 48.179724 0.0, 37.795817 48.174367 0.0, 37.802586 48.178601 0.0, 37.795817 48.174367 0.0, 37.804403 48.172112 0.0)",Russian Attack,
"LINESTRING (38.08604 48.621972 0.0, 38.040628 48.604136 0.0, 38.044716 48.609961 0.0, 38.040628 48.604136 0.0, 38.050586 48.603982 0.0)",Russian Attack,
"LINESTRING (37.655284 48.043536 0.0, 37.604935 48.053429 0.0, 37.613451 48.047908 0.0, 37.604935 48.053429 0.0, 37.616061 48.055061 0.0)",Russian Attack,
"LINESTRING (37.794104 48.216502 0.0, 37.768469 48.197098 0.0, 37.76981 48.203176 0.0, 37.768469 48.197098 0.0, 37.776713 48.19828 0.0)",Russian Attack,
"LINESTRING (37.564588 47.8411636, 37.5144363 47.8510566, 37.5227155 47.8454416, 37.5144363 47.8510566, 37.5257316 47.8526816)",Russian Attack,
"LINESTRING (38.3087581 48.8992762, 38.2639242 48.9154675, 38.2766976 48.9156781, 38.2639242 48.9154675, 38.2707772 48.9085387)",Russian Attack,
"LINESTRING (33.143314 47.139336 0.0, 33.114632 47.152742 0.0, 33.125554 47.152337 0.0, 33.114632 47.152742 0.0, 33.119726 47.146227 0.0)",Russian Attack,
"LINESTRING (37.7657377 48.0734007, 37.7255252 48.0918287, 37.7302284 48.0858967, 37.7255252 48.0918287, 37.7354208 48.0914297)",Russian Attack,
"LINESTRING (38.2974026 48.8380801, 38.2717162 48.8152063, 38.2729728 48.8221898, 38.2717162 48.8152063, 38.281553 48.817821)",Russian Attack,
"LINESTRING (37.694315 48.048625 0.0, 37.654122 48.067053 0.0, 37.658823 48.061121 0.0, 37.654122 48.067053 0.0, 37.664013 48.066654 0.0)",Russian Attack,
"LINESTRING (38.1971951 48.7006677, 38.1564836 48.7190957, 38.1617347 48.7125807, 38.1564836 48.7190957, 38.1677421 48.7186907)",Russian Attack,
"LINESTRING (38.011359 48.370823 0.0, 37.973945 48.390658 0.0, 37.985273 48.389803 0.0, 37.973859 48.390715 0.0, 37.977464 48.383705 0.0)",Russian Attack,
"LINESTRING (37.7423072 48.0771851, 37.7020917 48.0956131, 37.7067953 48.0896811, 37.7020917 48.0956131, 37.711988 48.0952141)",Russian Attack,
"LINESTRING (35.717885 47.517769 0.0, 35.681454 47.500368 0.0, 35.69545 47.501461 0.0, 35.681454 47.500368 0.0, 35.688409 47.509205 0.0)",Ukrainian Attack,
"LINESTRING (36.274575 47.590425 0.0, 36.292237 47.558418 0.0, 36.294047 47.568209 0.0, 36.292237 47.558418 0.0, 36.28167 47.564125 0.0)",Ukrainian Attack,
"LINESTRING (33.6734544 47.1960012, 33.6774911 47.1604281, 33.6662745 47.1698321, 33.6774911 47.1604281, 33.68507 47.1716781)",Ukrainian Attack,
"LINESTRING (37.870898 49.46416 0.0, 37.942562 49.506802 0.0, 37.92787 49.504627 0.0, 37.942562 49.506802 0.0, 37.937853 49.496991 0.0)",Ukrainian Attack,
"LINESTRING (37.8499436 49.6879223, 37.9028366 49.7026525, 37.8928746 49.6933457, 37.9028366 49.7026525, 37.885688 49.7045313)",Ukrainian Attack,
"LINESTRING (33.276573 47.228303 0.0, 33.281985 47.180841 0.0, 33.289566 47.192091 0.0, 33.281985 47.180841 0.0, 33.270764 47.190245 0.0)",Ukrainian Attack,
"LINESTRING (36.274575 47.590425 0.0, 36.292237 47.558418 0.0, 36.294047 47.568209 0.0, 36.292237 47.558418 0.0, 36.28167 47.564125 0.0)",Ukrainian Attack,
"LINESTRING (35.464175 47.535398 0.0, 35.463316 47.510706 0.0, 35.470355 47.51946 0.0, 35.463316 47.510706 0.0, 35.457308 47.51917 0.0)",Ukrainian Attack,
"LINESTRING (37.8369548 49.6159215, 37.8897696 49.6306517, 37.8798224 49.6213449, 37.8897696 49.6306517, 37.8726464 49.6325305)",Ukrainian Attack,
"POINT (32.334799 52.129218)",Russian Drone Shot Down,
"POINT (33.431053 47.890795)",Suicide Drone,
"POINT (31.988341 46.95036)",Suicide Drone,
