WKT,name,description
"POLYGON ((38.0438963 48.5796589, 38.0476551 48.5831764, 38.0480312 48.5874739, 38.0466476 48.5976755, 38.0435148 48.6023583, 38.0431178 48.5989668, 38.0427503 48.5987557, 38.0423185 48.5985872, 38.0420597 48.5983575, 38.0416024 48.5916824, 38.0411185 48.5911659, 38.0388537 48.5902163, 38.0381344 48.5902348, 38.0370073 48.5904377, 38.0365455 48.5907259, 38.0363411 48.591163, 38.0356481 48.5918456, 38.0353284 48.5922757, 38.0347941 48.5924999, 38.0343683 48.5923359, 38.0341356 48.5920513, 38.0338419 48.5914608, 38.0331825 48.5878997, 38.0334588 48.5871128, 38.034057 48.5864111, 38.0352901 48.5858259, 38.0366949 48.5853542, 38.0414152 48.5839446, 38.043836 48.5828593, 38.0443496 48.5818682, 38.0443804 48.5807636, 38.0438963 48.5796589))",Russian Advance,as of 12/12
"POLYGON ((38.142732 48.6966307, 38.1554349 48.6984436, 38.144212 48.701257, 38.1421886 48.7037611, 38.1393562 48.7089721, 38.1328331 48.7113084, 38.1320606 48.7119703, 38.1303869 48.7123491, 38.127769 48.7123136, 38.1246455 48.7124545, 38.1224555 48.7120239, 38.1224972 48.7105737, 38.1234911 48.7039061, 38.1251366 48.6973671, 38.142732 48.6966307))",Russian Advance,as of 12/12
"POINT (35.4076195 46.8420609)",Bridge Damaged,12/12
"POINT (37.9852487 48.6483966)",Bridge Destroyed,12/11
"POINT (32.2501037 52.7459598)",Explosion at Barracks!,
"POINT (37.6785448 48.534708)",Mi-8 Crash,
"POINT (34.6614408 47.4761166)",Ammo Depot Destroyed,
"POINT (32.915415 46.1226062)",Assassination Attempt on Vitaliy Bulyuk,
"POINT (37.727466 48.517889)",Missile Strike,
"POINT (37.3768829 48.0543319)",Missile Strike,
"POINT (35.4074172 46.8421355)",Missile Strike,
"POINT (35.709284 47.2682)",Missile Strike,
"POINT (35.3248824 47.2552616)",Missile Strike,
"POINT (35.2215525 47.2709141)",Missile Strike,
"POINT (33.5555424 46.3453677)",Missile Strike,
"POINT (38.8017883 48.4753841)",Missile Strike,6
"POINT (35.469464 47.010058)",Missile Strike,
"POINT (32.897839 46.162477)",Missile Strike,
"POINT (31.5745342 46.6320337)",S-300 Strike,
"POINT (31.602865 46.653644)",S-300 Strike,
"POINT (32.629595 46.652192)",Missile Strike,
"POINT (38.251206 48.807225)",Airstrike,
"POINT (38.212582 48.73889)",Airstrike,
"POINT (37.959884 48.521689)",Airstrike,
"POINT (37.813698 49.888897)",U Shelling,
"POINT (37.76838 49.843089)",U Shelling,
"POINT (37.703835 49.78549)",U Shelling,
"POINT (37.904434 49.740969)",U Shelling,
"POINT (37.93808 49.6892)",U Shelling,
"POINT (37.934592 49.65958)",U Shelling,
"POINT (37.958453 49.658802)",U Shelling,
"POINT (37.963775 49.642353)",U Shelling,
"POINT (37.94472 49.589412)",U Shelling,
"POINT (37.952969 49.547234)",U Shelling,
"POINT (37.949662 49.516121)",U Shelling,
"POINT (37.963824 49.513112)",U Shelling,
"POINT (37.968373 49.502299)",U Shelling,
"POINT (37.983908 49.48864)",U Shelling,
"POINT (37.944769 49.409628)",U Shelling,
"POINT (38.012973 49.256313)",U Shelling,
"POINT (38.047161 49.216459)",U Shelling,
"POINT (38.058147 49.209282)",U Shelling,
"POINT (38.07909 49.203674)",U Shelling,
"POINT (38.148267 49.132321)",U Shelling,
"POINT (38.16097 49.1266982)",U Shelling,
"POINT (38.177106 49.118841)",U Shelling,
"POINT (38.188825 49.092335)",U Shelling,
"POINT (38.2152606 49.0466753)",U Shelling,
"POINT (38.2029012 49.0349722)",U Shelling,
"POINT (38.110204 48.998721)",U Shelling,
"POINT (38.239311 48.941256)",U Shelling,
"POINT (38.263001 48.938099)",U Shelling,
"POINT (38.244875 48.866707)",U Shelling,
"POINT (38.267274 48.804361)",U Shelling,
"POINT (38.227958 48.757021)",U Shelling,
"POINT (38.244758 48.753994)",U Shelling,
"POINT (38.21398 48.732881)",U Shelling,
"POINT (38.127047 48.708727)",U Shelling,
"POINT (38.151423 48.70566)",U Shelling,
"POINT (38.137518 48.70023)",U Shelling,
"POINT (38.120639 48.682698)",U Shelling,
"POINT (38.109481 48.670569)",U Shelling,
"POINT (38.11195 48.6467)",U Shelling,
"POINT (38.041936 48.629688)",U Shelling,
"POINT (38.136776 48.626792)",U Shelling,
"POINT (38.053094 48.624469)",U Shelling,
"POINT (38.039055 48.612535)",U Shelling,
"POINT (38.04294 48.597858)",U Shelling,
"POINT (38.050407 48.597177)",U Shelling,
"POINT (38.02895 48.575943)",U Shelling,
"POINT (38.039078 48.572706)",U Shelling,
"POINT (38.0306 48.552736)",U Shelling,
"POINT (38.021416 48.55023)",U Shelling,
"POINT (37.982589 48.536498)",U Shelling,
"POINT (37.981216 48.529053)",U Shelling,
"POINT (37.966322 48.519308)",U Shelling,
"POINT (37.9713 48.515044)",U Shelling,
"POINT (37.953018 48.47472)",U Shelling,
"POINT (37.9434057 48.461858)",U Shelling,
"POINT (37.947697 48.452865)",U Shelling,
"POINT (37.940144 48.446033)",U Shelling,
"POINT (37.952675 48.40263)",U Shelling,
"POINT (37.955422 48.393057)",U Shelling,
"POINT (37.781424 48.255257)",U Shelling,
"POINT (37.791896 48.254)",U Shelling,
"POINT (37.765116 48.228048)",U Shelling,
"POINT (37.794404 48.205433)",U Shelling,
"POINT (37.970768 48.20001)",U Shelling,
"POINT (37.81157 48.173618)",U Shelling,
"POINT (37.859331 48.16978)",U Shelling,
"POINT (37.87581 48.126263)",U Shelling,
"POINT (37.827745 48.12168)",U Shelling,
"POINT (37.677858 48.095428)",U Shelling,
"POINT (37.653254 48.068769)",U Shelling,
"POINT (37.659434 48.065671)",U Shelling,
"POINT (37.77144 48.043239)",U Shelling,
"POINT (37.559015 47.998508)",U Shelling,
"POINT (37.507998 47.94202)",U Shelling,
"POINT (37.506552 47.936622)",U Shelling,
"POINT (37.512302 47.842393)",U Shelling,
"POINT (37.530326 47.832138)",U Shelling,
"POINT (36.8062233 47.8213838)",U Shelling,
"POINT (36.8281109 47.8127963)",U Shelling,
"POINT (36.8047649 47.8242657)",U Shelling,
"POINT (36.810987 47.803363)",U Shelling,
"POINT (36.633995 47.783089)",U Shelling,
"POINT (37.288286 47.767797)",U Shelling,
"POINT (37.274382 47.756027)",U Shelling,
"POINT (37.255329 47.75497)",U Shelling,
"POINT (37.2158448 47.7508335)",U Shelling,
"POINT (37.2292354 47.7482936)",U Shelling,
"POINT (36.352066 47.63209)",U Shelling,
"POINT (36.294525 47.56062)",U Shelling,
"POINT (35.360987 47.529938)",U Shelling,
"POINT (34.644939 47.52623)",U Shelling,
"POINT (35.516241 47.515166)",U Shelling,
"POINT (35.433085 47.509071)",U Shelling,
"POINT (35.694082 47.506817)",U Shelling,
"POINT (35.988194 47.5043)",U Shelling,
"POINT (36.122851 47.494348)",U Shelling,
"POINT (34.424746 47.4745)",U Shelling,
"POINT (36.248176 47.464392)",U Shelling,
"POINT (34.613574 47.437827)",U Shelling,
"POINT (33.70589 46.942761)",U Shelling,
"POINT (33.490046 46.809071)",U Shelling,
"POINT (33.449397 46.778041)",U Shelling,
"POINT (33.363016 46.750294)",U Shelling,
"POINT (32.976318 46.704546)",U Shelling,
"POINT (32.714496 46.62926)",U Shelling,
"POINT (32.525885 46.548234)",U Shelling,
"POINT (32.500135 46.538552)",U Shelling,
"POINT (32.529661 46.536427)",U Shelling,
"POINT (32.511122 46.535246)",U Shelling,
"POINT (33.953449 52.239726)",R Shelling,
"POINT (35.107337 51.03079)",R Shelling,
"POINT (37.33577 50.370558)",R Shelling,
"POINT (37.463027 50.336546)",R Shelling,
"POINT (37.212776 50.33502)",R Shelling,
"POINT (37.136506 50.306562)",R Shelling,
"POINT (36.396144 50.30041)",R Shelling,
"POINT (37.030482 50.29839)",R Shelling,
"POINT (36.841199 50.29701)",R Shelling,
"POINT (36.881464 50.295613)",R Shelling,
"POINT (36.458359 50.28392)",R Shelling,
"POINT (36.790766 50.24268)",R Shelling,
