WKT,name,description
"POINT (26.25763 50.54176)",Fire,2022-07-04	01:24 UTC
"POINT (26.48946 48.45609)",Fire,2022-07-04	11:13 UTC
"POINT (26.56353 48.94151)",Fire,2022-07-04	10:21 UTC
"POINT (26.60339 48.74927)",Fire,2022-07-04	00:35 UTC
"POINT (27.34329 51.60625)",Fire,2022-07-04	00:35 UTC
"POINT (28.07034 49.9632)",Fire,2022-07-04	10:21 UTC
"POINT (28.07341 48.5611)",Fire,2022-07-04	10:21 UTC
"POINT (28.93834 45.94756)",Fire,2022-07-04	00:37 UTC
"POINT (29.42224 51.39535)",Fire,2022-07-04	20:17 UTC
"POINT (29.43167 51.39642)",Fire,2022-07-04	10:21 UTC
"POINT (29.44595 51.39814)",Fire,2022-07-04	00:35 UTC
"POINT (29.46292 51.4024)",Fire,2022-07-04	00:35 UTC
"POINT (29.55569 50.88643)",Fire,2022-07-04	10:21 UTC
"POINT (29.59012 49.49921)",Fire,2022-07-04	11:13 UTC
"POINT (29.63037 49.22399)",Fire,2022-07-04	10:21 UTC
"POINT (30.81598 51.23985)",Fire,2022-07-04	09:32 UTC
"POINT (31.61814 47.07113)",Fire,2022-07-04	09:30 UTC
"POINT (31.62471 47.07331)",Fire,2022-07-04	09:30 UTC
"POINT (31.8964 46.46321)",Fire,2022-07-04	11:10 UTC
"POINT (32.02039 46.71635)",Fire,2022-07-04	11:10 UTC
"POINT (32.08549 51.50047)",Fire,2022-07-04	01:24 UTC
"POINT (32.08944 51.49462)",Fire,2022-07-04	09:07 UTC
"POINT (32.0967 46.7228)",Fire,2022-07-04	11:10 UTC
"POINT (32.14954 46.67548)",Fire,2022-07-04	10:47 UTC
"POINT (32.15403 46.68104)",Fire,2022-07-04	11:10 UTC
"POINT (32.16291 46.67766)",Fire,2022-07-04	10:47 UTC
"POINT (32.19237 46.6581)",Fire,2022-07-04	11:10 UTC
"POINT (32.20356 46.64708)",Fire,2022-07-04	09:07 UTC
"POINT (32.21131 46.64978)",Fire,2022-07-04	09:07 UTC
"POINT (32.21324 46.63442)",Fire,2022-07-04	11:10 UTC
"POINT (32.21983 46.65113)",Fire,2022-07-04	10:47 UTC
"POINT (32.22691 46.65255)",Fire,2022-07-04	11:10 UTC
"POINT (32.23074 46.6227)",Fire,2022-07-04	10:19 UTC
"POINT (32.23623 46.62926)",Fire,2022-07-04	09:07 UTC
"POINT (32.34426 49.28586)",Fire,2022-07-04	10:49 UTC
"POINT (32.35262 50.98844)",Fire,2022-07-04	10:49 UTC
"POINT (32.42465 47.02698)",Fire,2022-07-04	11:10 UTC
"POINT (32.44639 46.76025)",Fire,2022-07-04	11:10 UTC
"POINT (32.46276 46.76588)",Fire,2022-07-04	11:10 UTC
"POINT (32.73581 47.17227)",Fire,2022-07-04	11:10 UTC
"POINT (32.79545 46.79885)",Fire,2022-07-04	09:30 UTC
"POINT (32.80986 47.05757)",Fire,2022-07-04	09:07 UTC
"POINT (32.85125 47.09642)",Fire,2022-07-04	09:30 UTC
"POINT (32.8572 47.09833)",Fire,2022-07-04	09:30 UTC
"POINT (32.86229 47.10239)",Fire,2022-07-04	11:10 UTC
"POINT (32.88493 47.07775)",Fire,2022-07-04	11:10 UTC
"POINT (32.92241 47.15948)",Fire,2022-07-04	10:19 UTC
"POINT (32.99875 47.14574)",Fire,2022-07-04	10:47 UTC
"POINT (33.00806 47.15321)",Fire,2022-07-04	11:10 UTC
"POINT (33.00904 47.12695)",Fire,2022-07-04	10:19 UTC
"POINT (33.01184 47.14774)",Fire,2022-07-04	10:47 UTC
"POINT (33.03954 47.22537)",Fire,2022-07-04	10:19 UTC
"POINT (33.04919 47.23082)",Fire,2022-07-04	10:19 UTC
"POINT (33.0559 47.23845)",Fire,2022-07-04	09:30 UTC
"POINT (33.0604 47.25852)",Fire,2022-07-04	11:10 UTC
"POINT (33.07691 47.25056)",Fire,2022-07-04	10:19 UTC
"POINT (33.07949 47.17199)",Fire,2022-07-04	11:10 UTC
"POINT (33.07961 47.24377)",Fire,2022-07-04	10:19 UTC
"POINT (33.08054 47.25116)",Fire,2022-07-04	11:10 UTC
"POINT (33.08213 47.16713)",Fire,2022-07-04	10:47 UTC
"POINT (33.08755 47.15219)",Fire,2022-07-04	09:30 UTC
"POINT (33.09046 47.17284)",Fire,2022-07-04	10:19 UTC
"POINT (33.09124 47.14679)",Fire,2022-07-04	09:30 UTC
"POINT (33.09325 47.15401)",Fire,2022-07-04	09:30 UTC
"POINT (33.09494 47.14138)",Fire,2022-07-04	09:30 UTC
"POINT (33.09516 47.16913)",Fire,2022-07-04	10:47 UTC
"POINT (33.09696 47.14861)",Fire,2022-07-04	09:30 UTC
"POINT (33.09736 47.13763)",Fire,2022-07-04	09:30 UTC
"POINT (33.09945 47.31372)",Fire,2022-07-04	11:10 UTC
"POINT (33.10287 47.14268)",Fire,2022-07-04	11:10 UTC
"POINT (33.10291 47.18267)",Fire,2022-07-04	11:10 UTC
"POINT (33.10427 47.13779)",Fire,2022-07-04	09:30 UTC
"POINT (33.10637 47.30978)",Fire,2022-07-04	11:10 UTC
"POINT (33.10701 47.17595)",Fire,2022-07-04	10:19 UTC
"POINT (33.10838 47.14754)",Fire,2022-07-04	11:10 UTC
"POINT (33.10844 47.18716)",Fire,2022-07-04	10:19 UTC
"POINT (33.1153 47.18363)",Fire,2022-07-04	11:10 UTC
"POINT (33.1356 47.32526)",Fire,2022-07-04	11:10 UTC
"POINT (33.13585 47.20686)",Fire,2022-07-04	10:19 UTC
"POINT (33.14049 47.33453)",Fire,2022-07-04	11:10 UTC
"POINT (33.18964 47.24958)",Fire,2022-07-04	10:19 UTC
"POINT (33.19405 47.25517)",Fire,2022-07-04	11:10 UTC
"POINT (33.19479 47.23999)",Fire,2022-07-04	10:47 UTC
"POINT (33.19479 47.25076)",Fire,2022-07-04	11:10 UTC
"POINT (33.20221 47.24237)",Fire,2022-07-04	11:10 UTC
"POINT (33.21062 47.12794)",Fire,2022-07-04	10:19 UTC
"POINT (33.21506 47.28355)",Fire,2022-07-04	11:10 UTC
"POINT (33.21747 47.12558)",Fire,2022-07-04	10:19 UTC
"POINT (33.22578 47.29171)",Fire,2022-07-04	10:47 UTC
"POINT (33.23443 47.40866)",Fire,2022-07-04	09:07 UTC
"POINT (33.23452 47.28917)",Fire,2022-07-04	09:07 UTC
"POINT (33.23508 47.29259)",Fire,2022-07-04	10:19 UTC
"POINT (33.23627 47.41837)",Fire,2022-07-04	10:19 UTC
"POINT (33.24124 47.29871)",Fire,2022-07-04	09:30 UTC
"POINT (33.24308 47.41601)",Fire,2022-07-04	10:19 UTC
"POINT (33.24337 47.29213)",Fire,2022-07-04	10:19 UTC
"POINT (33.24798 47.41513)",Fire,2022-07-04	10:47 UTC
"POINT (33.25427 47.38313)",Fire,2022-07-04	11:10 UTC
"POINT (33.25558 47.30004)",Fire,2022-07-04	10:19 UTC
"POINT (33.25929 47.41514)",Fire,2022-07-04	09:07 UTC
"POINT (33.25963 47.3798)",Fire,2022-07-04	10:47 UTC
"POINT (33.25996 47.38803)",Fire,2022-07-04	11:10 UTC
"POINT (33.26852 47.38573)",Fire,2022-07-04	10:19 UTC
"POINT (33.30429 47.31163)",Fire,2022-07-04	00:35 UTC
"POINT (33.30917 47.35703)",Fire,2022-07-04	10:19 UTC
"POINT (33.31606 47.31576)",Fire,2022-07-04	11:10 UTC
"POINT (33.35308 47.45555)",Fire,2022-07-04	11:10 UTC
"POINT (33.36716 47.44754)",Fire,2022-07-04	11:10 UTC
"POINT (33.45657 47.44625)",Fire,2022-07-04	10:47 UTC
"POINT (33.45945 47.43743)",Fire,2022-07-04	10:47 UTC
"POINT (33.4645 47.44605)",Fire,2022-07-04	10:19 UTC
"POINT (33.48148 47.36341)",Fire,2022-07-04	10:19 UTC
"POINT (33.48725 47.18249)",Fire,2022-07-04	10:19 UTC
"POINT (33.49041 47.36352)",Fire,2022-07-04	09:30 UTC
"POINT (33.57088 47.49354)",Fire,2022-07-04	11:10 UTC
"POINT (33.62338 47.45734)",Fire,2022-07-04	10:19 UTC
"POINT (33.63976 46.11387)",Fire,2022-07-04	10:19 UTC
"POINT (33.68455 47.45108)",Fire,2022-07-04	11:10 UTC
"POINT (33.69948 47.43883)",Fire,2022-07-04	10:19 UTC
"POINT (33.75197 47.54742)",Fire,2022-07-04	11:10 UTC
"POINT (33.8845 47.42562)",Fire,2022-07-04	09:07 UTC
"POINT (34.1678 46.21003)",Fire,2022-07-04	10:19 UTC
"POINT (34.32831 47.62948)",Fire,2022-07-04	09:30 UTC
"POINT (34.44904 47.63777)",Fire,2022-07-04	00:35 UTC
"POINT (34.58868 46.28826)",Fire,2022-07-04	10:19 UTC
"POINT (34.62814 48.47401)",Fire,2022-07-04	00:35 UTC
"POINT (34.68689 50.93783)",Fire,2022-07-04	10:21 UTC
"POINT (34.76268 51.00136)",Fire,2022-07-04	10:21 UTC
"POINT (35.14447 47.86082)",Fire,2022-07-04	00:35 UTC
"POINT (35.16037 47.87847)",Fire,2022-07-04	00:35 UTC
"POINT (35.19067 47.88095)",Fire,2022-07-04	00:35 UTC
"POINT (35.35642 47.39466)",Fire,2022-07-04	11:10 UTC
"POINT (35.43116 48.63986)",Fire,2022-07-04	00:35 UTC
"POINT (35.4429 48.71245)",Fire,2022-07-04	09:30 UTC
"POINT (35.46979 47.53548)",Fire,2022-07-04	11:10 UTC
"POINT (35.99557 49.7147)",Fire,2022-07-04	10:21 UTC
