WKT,name,description
"POINT (36.5571672 50.1182559)",Air Strike,
"POINT (37.5872307 49.0288524)",Air Strike,
"POINT (38.2601692 48.7569388)",Air Strike,
"POINT (38.1674091 48.6456669)",Air Strike,
"POINT (38.1623017 48.5025174)",Air Strike,
"POINT (38.1795502 48.4571861)",Air Strike,
"POINT (37.8431419 48.2697754)",Air Strike,
"POINT (35.3164557 47.499773)",Air Strike?,
"POINT (37.7621637 48.1309664)",Air Strike,
"POINT (37.7286523 48.0665686)",Air Strike,
"POINT (37.4754345 47.872881)",Air Strike,
"POINT (35.6982397 47.5365639)",Air Strike,
"POINT (38.2227961 48.8147668)",Air Support,
"POINT (35.3111122 46.8801649)",Missile Strike,
"POINT (33.3620813 46.7274008)",Missile Strike,Ammo depot destroyed, unknown coordinates
"POINT (33.2039161 52.3161717)",Shelling,
"POINT (33.2095809 52.3121315)",Shelling,
"POINT (36.351872 49.9716371)",Shelling,
"POINT (36.410762 50.0999652)",Shelling,
"POINT (36.0915622 50.3985522)",Shelling,
"POINT (36.0833223 50.376115)",Shelling,
"POINT (36.0936221 50.3882651)",Shelling,
"POINT (36.8018063 50.1423045)",Shelling,
"POINT (36.8007763 50.1320721)",Shelling,
"POINT (36.7971712 50.0814275)",Shelling,
"POINT (36.7880732 50.092772)",Shelling,
"POINT (36.7854983 50.115123)",Shelling,
"POINT (36.7317419 50.1551909)",Shelling,
"POINT (36.7209272 50.1447964)",Shelling,
"POINT (36.4669289 50.1223473)",Shelling,
"POINT (36.4470041 50.1304092)",Shelling,
"POINT (36.4495794 50.0959543)",Shelling,
"POINT (36.2373017 50.2245895)",Shelling,
"POINT (36.2212513 50.229696)",Shelling,
"POINT (36.889047 49.8417589)",Shelling,
"POINT (36.9038093 49.7921386)",Shelling,
"POINT (36.9288719 49.7919169)",Shelling,
"POINT (36.3261391 48.7393467)",Shelling,
"POINT (37.5179878 48.934046)",Shelling,
"POINT (37.4925819 48.9506906)",Shelling,
"POINT (37.5179878 48.9213718)",Shelling,
"POINT (37.0237924 49.0044227)",Shelling,
"POINT (37.0104028 49.0109536)",Shelling,
"POINT (37.0210458 48.9906824)",Shelling,
"POINT (36.9104647 49.3136704)",Shelling,
"POINT (36.8766733 49.3619197)",Shelling,
"POINT (36.814085 49.3743447)",Shelling,
"POINT (36.8580262 49.3528632)",Shelling,
"POINT (36.9346472 49.3258518)",Shelling,
"POINT (37.2595105 48.9704199)",Shelling,
"POINT (37.2528158 48.9829266)",Shelling,
"POINT (37.2147064 48.996331)",Shelling,
"POINT (37.3034557 48.9892408)",Shelling,
"POINT (37.2959026 48.9760597)",Shelling,
"POINT (37.334698 48.9809045)",Shelling,
"POINT (37.3388179 48.9736935)",Shelling,
"POINT (37.3832782 48.9711018)",Shelling,
"POINT (37.4030193 48.9734681)",Shelling,
"POINT (37.3911746 48.9886776)",Shelling,
"POINT (37.3809314 48.9823912)",Shelling,
"POINT (37.423447 48.9763977)",Shelling,
"POINT (37.4790652 48.9850728)",Shelling,
"POINT (37.4388965 49.0050085)",Shelling,
"POINT (37.4584659 49.0071482)",Shelling,
"POINT (37.4461063 48.9969002)",Shelling,
"POINT (37.4222453 48.9871005)",Shelling,
"POINT (37.43203 48.9976884)",Shelling,
"POINT (37.5584424 49.0199163)",Shelling,
"POINT (37.5469411 49.0083198)",Shelling,
"POINT (37.5294317 49.0149628)",Shelling,
"POINT (37.4964727 48.9899624)",Shelling,
"POINT (37.5182737 49.0038155)",Shelling,
"POINT (37.4913228 49.0168767)",Shelling,
"POINT (37.4880613 49.0039281)",Shelling,
"POINT (37.4549573 48.950444)",Shelling,
"POINT (36.8780396 49.3312897)",Shelling,
"POINT (36.8620751 49.3339745)",Shelling,
"POINT (36.8734048 49.321668)",Shelling,
"POINT (38.113337 48.8888923)",Shelling,
"POINT (38.1250103 48.8483553)",Shelling,
"POINT (38.0759148 48.8839257)",Shelling,
"POINT (38.2104973 48.921163)",Shelling,
"POINT (38.2464024 48.9053546)",Shelling,
"POINT (38.1826881 48.9132665)",Shelling,
"POINT (38.2194235 48.89273)",Shelling,
