WKT,name,description
"POLYGON ((37.987424 48.597219, 37.987713 48.60004, 37.988142 48.601658, 37.988218 48.602729, 37.988289 48.603753, 37.988081 48.604862, 37.987994 48.6057, 37.986282 48.605917, 37.985166 48.607264, 37.983793 48.606683, 37.982398 48.607506, 37.981132 48.606314, 37.977845 48.607761, 37.974523 48.608972, 37.972992 48.607781, 37.973363 48.607434, 37.97626 48.606171, 37.976442 48.606342, 37.978159 48.605653, 37.979457 48.606959, 37.981185 48.606224, 37.981696 48.606727, 37.982158 48.606479, 37.982784 48.60604, 37.983342 48.6056, 37.983707 48.605096, 37.986333 48.605774, 37.987736 48.605558, 37.987968 48.604858, 37.988173 48.603742, 37.98812 48.602729, 37.988023 48.601658, 37.987603 48.600022, 37.987421 48.598407, 37.987282 48.597214, 37.98546 48.59717, 37.985106 48.595978, 37.98473 48.593467, 37.984525 48.591555, 37.985608 48.591426, 37.985468 48.590496, 37.988129 48.590243, 37.989213 48.589636, 37.990136 48.588822, 37.990114 48.588307, 37.988899 48.583122, 37.98996 48.583304, 37.991987 48.585106, 37.993036 48.588002, 37.992975 48.588313, 37.991411 48.588426, 37.988177 48.590381, 37.985629 48.590573, 37.98582 48.591559, 37.984637 48.591652, 37.984932 48.593809, 37.987165 48.594903, 37.987424 48.597219))",Russian Control,as of 4/16
"POINT (36.618737 50.6007 0.0)",Fire,
"POINT (36.029917 50.466583 0.0)",Ukrainian drone hit Murom EW,
"POINT (38.130472 49.121111 0.0)",Russian BMP-1 destroyed,
"POINT (38.152139 49.008861 0.0)",Russian Strela-10 destroyed,
"POINT (37.712194 48.094528 0.0)",Russian MTLB destroyed,
"POINT (33.488607 51.87491 0.0)",Airstrike?,
"POINT (35.279091 47.82734 0.0)",S-300 Strike,
"POINT (35.261348 47.822161 0.0)",S-300 Strike,
"POINT (35.516534 47.726187 0.0)",S-300 Strike,
"POINT (32.789308 47.07013 0.0)",S-300 Strike,
"POINT (32.826389 47.063107 0.0)",S-300 Strike,
"POINT (36.899594 50.395827 0.0)",U Shelling,
"POINT (36.82012 50.357358 0.0)",U Shelling,
"POINT (37.926414 49.687318 0.0)",U Shelling,
