WKT,name,description
"POLYGON ((37.9059474 48.5168831, 37.9017286 48.5125432, 37.8962604 48.5102727, 37.891411 48.503223, 37.895759 48.499351, 37.8980024 48.4962205, 37.9128961 48.4969104, 37.9172735 48.4994697, 37.9214362 48.502228, 37.9217795 48.502882, 37.9182606 48.506152, 37.9155139 48.5104736, 37.9111601 48.5147872, 37.9059474 48.5168831))",Ukrainian Advance,as of 5/18
"POLYGON ((38.011435 48.742213, 38.0259297 48.7444912, 38.0265949 48.7464296, 38.026788 48.749316, 38.0285046 48.7494929, 38.0291269 48.7504302, 38.0304358 48.7504337, 38.0325601 48.7521455, 38.0352741 48.7530658, 38.0318224 48.7544216, 38.0304324 48.7536602, 38.0298726 48.7526439, 38.0271456 48.7524056, 38.0259757 48.7508782, 38.02575 48.7497753, 38.0245053 48.7494077, 38.0236146 48.7486652, 38.0210072 48.7480362, 38.0146816 48.7468038, 38.0128978 48.746056, 38.0109116 48.7458873, 38.010589 48.7446179, 38.0112857 48.7431151, 38.011435 48.742213))",Ukrainian Advance,as of 5/18
"POLYGON ((37.9425704 48.5554723, 37.9419696 48.5537395, 37.939223 48.5545349, 37.9302966 48.5528021, 37.9219693 48.5506626, 37.9117501 48.548417, 37.9039395 48.5478772, 37.8995193 48.5472522, 37.8982747 48.538899, 37.8987039 48.5313969, 37.8944563 48.528064, 37.8957654 48.5260474, 37.8977501 48.5215714, 37.9019616 48.5170311, 37.9017286 48.5125432, 37.9059474 48.5168831, 37.8999822 48.5242452, 37.8991867 48.5268452, 37.907126 48.5318187, 37.9251741 48.5352149, 37.9365493 48.5364241, 37.9304273 48.542549, 37.9406412 48.5477199, 37.9467781 48.548771, 37.9425704 48.5554723))",Ukrainian Advance,as of 5/17
"POLYGON ((37.9609321 48.5931395, 37.965119 48.5913506, 37.9661464 48.5923332, 37.9629606 48.5939537, 37.9593884 48.5982704, 37.9628199 48.5996109, 37.9621797 48.6003281, 37.9577885 48.5985109, 37.9590546 48.5971486, 37.958561 48.5969996, 37.9616509 48.5934446, 37.9609321 48.5931395))",Russian Advance,as of 5/17
"POINT (33.865485 44.769552 0.0)",Railway Sabotage,
"POINT (32.958622 46.503851 0.0)",Large Fire,
"POINT (34.882783 51.213078 0.0)",Ukrainian Drone Attack,
"POINT (35.901244 47.538042 0.0)",UAV Attack,
"POINT (37.486956 47.61101 0.0)",Strike,
"POINT (36.644364 47.357247 0.0)",Strike,
"POINT (35.216437 47.26369 0.0)",Strike,
"POINT (32.903262 46.123239 0.0)",Strike,
"POINT (35.695781 47.236438 0.0)",Missile Strike,
"POINT (35.599937 47.20272 0.0)",Missile Strike,
"POINT (36.224771 47.178012 0.0)",Missile Strike,
"POINT (30.440048 50.414885 0.0)",Air Defense Active,
"POINT (28.7399 50.258556 0.0)",Air Defense Active,
"POINT (34.563789 49.601591 0.0)",Air Defense Active,
"POINT (28.48975 49.2115 0.0)",Air Defense Active,
"POINT (32.261193 48.935406 0.0)",Air Defense Active,
"POINT (32.108185 48.43066 0.0)",Air Defense Active,
"POINT (32.575527 46.598726 0.0)",X-22 Strike,
"POINT (33.481355 52.374524 0.0)",Ukrainian Drone Shot Down,
"POINT (34.883361 51.235542 0.0)",Ukrainian Drone Shot Down,
"POINT (31.894307 46.974179 0.0)",Strike,
"POINT (33.435821 46.842315 0.0)",Strike,
"POINT (37.724168 48.530131 0.0)",Smerch Strike,
"POINT (36.385629 50.092635 0.0)",S-300 Strike,
"POINT (36.3800419 50.0823616)",S-300 Strike,
"POINT (37.713525 48.53727 0.0)",S-300 Strike,
"POINT (37.840322 48.401952 0.0)",S-300 Strike,
"POINT (30.793647 46.631737 0.0)",Rocket Strike,
"POINT (26.94313 49.427333 0.0)",Missile Strike,
"POINT (32.15414 47.021143 0.0)",Missile Strike,
"POINT (32.044498 46.931252 0.0)",Missile Strike,
"POINT (32.57373 46.598768 0.0)",Kalibr Strike,
"POINT (37.76281 48.032604 0.0)",Air Defense Very Active,
"POINT (32.51208 46.5074 0.0)",Russian T-72 Destroyed,
"POINT (37.99075 48.6512 0.0)",Russian D-30 Destroyed,
"POINT (37.297944 47.722722 0.0)",Russian BTR-82A Destroyed,
"POINT (38.060194 49.030889 0.0)",Russian BMP-1 Destroyed,
"POINT (35.812472 47.484806 0.0)",Russian BMP-2 Destroyed,
"POINT (38.265388888888886 48.80788888888888)",Russian T-80BV Destroyed,
"POINT (38.158868 48.118262 0.0)",Fire?,
"POINT (37.878138 47.767722 0.0)",Explosions,
"POINT (36.762152 46.795302 0.0)",Explosions,
"POINT (35.385933 46.834874 0.0)",Explosion,
"POINT (36.799854 47.127014 0.0)",Ammo Warehouse Destroyed,
"POINT (33.4136795 47.8724431)",Explosions,
"POINT (37.593444444444444 48.09861111111111)",Ukrainian BRDM-2 Destroyed,
"POINT (36.274771 54.486892 0.0)",Ukrainian Tu-141 Crash,
"POINT (37.910833 48.558889 0.0)",Ukrainian T-72B3 Destroyed,
"POINT (38.046778 49.190556 0.0)",Ukrainian T-72B Destroyed,
"POINT (37.430343 50.394862 0.0)",Airstrike,
"POINT (37.68814 49.813748 0.0)",Airstrike,
"POINT (37.778652 49.76602 0.0)",Airstrike,
"POINT (37.850328 49.733242 0.0)",Airstrike,
"POINT (37.905647 49.64024 0.0)",Airstrike,
"POINT (37.900154 49.628567 0.0)",Airstrike,
"POINT (37.879876 49.607588 0.0)",Airstrike,
"POINT (38.090237 48.992003 0.0)",Airstrike,
"POINT (38.267388 48.919665 0.0)",Airstrike,
"POINT (38.214312 48.854496 0.0)",Airstrike,
"POINT (38.158829 48.749614 0.0)",Airstrike,
"POINT (37.821076 48.671467 0.0)",Airstrike,
"POINT (37.90637 48.623031 0.0)",Airstrike,
"POINT (37.92575 48.620528 0.0)",Airstrike,
"POINT (37.958111 48.590659 0.0)",Airstrike,
"POINT (37.963579 48.58909 0.0)",Airstrike,
"POINT (37.816548 48.517094 0.0)",Airstrike,
"POINT (37.93703 48.467735 0.0)",Airstrike,
"POINT (37.68318 48.242695 0.0)",Airstrike,
"POINT (37.532677 48.19124 0.0)",Airstrike,
"POINT (37.733759 48.144256 0.0)",Airstrike,
"POINT (37.587817 48.09657 0.0)",Airstrike,
"POINT (37.505764 48.0043 0.0)",Airstrike,
"POINT (36.834755 47.848601 0.0)",Airstrike,
"POINT (36.83568 47.833123 0.0)",Airstrike,
"POINT (36.625595 47.813059 0.0)",Airstrike,
"POINT (36.996644 47.79101 0.0)",Airstrike,
"POINT (35.876953 47.540128 0.0)",Airstrike,
"POINT (35.815489 47.530135 0.0)",Airstrike,
"POINT (32.399744 46.555878 0.0)",Airstrike,
"POINT (32.35374 46.5437 0.0)",Airstrike,
"POINT (37.1032482 50.4337378)",U Shelling,
"POINT (37.0812667 50.4254127)",U Shelling,
"POINT (34.63335 51.335291 0.0)",U Shelling,
"POINT (34.87611 51.2072 0.0)",U Shelling,
"POINT (34.822598 51.191534 0.0)",U Shelling,
"POINT (35.421725 50.632678 0.0)",U Shelling,
"POINT (37.477457 50.400777 0.0)",U Shelling,
"POINT (37.738022 49.820686 0.0)",U Shelling,
"POINT (37.732883 49.820148 0.0)",U Shelling,
"POINT (37.753173 49.812712 0.0)",U Shelling,
"POINT (37.758972 49.794322 0.0)",U Shelling,
"POINT (37.9066 49.743765 0.0)",U Shelling,
"POINT (37.994082 49.52738 0.0)",U Shelling,
"POINT (37.980822 49.52451 0.0)",U Shelling,
"POINT (38.008631 49.505905 0.0)",U Shelling,
