WKT,name,description
"POINT (35.246858 46.793954 0.0)",Bridge Damaged,
"POINT (35.466719 50.705901 0.0)",Recon,
"POINT (36.585696 50.222782 0.0)",Recon,
"POINT (36.640167 47.7805 0.0)",Russian T-80BV Destroyed,
"POINT (38.32164 48.851118 0.0)",Drone Strike,
"POINT (38.906279 45.016594 0.0)",Air Defense Active,
"POINT (36.538964 50.593965 0.0)",Air Defense Active,
"POINT (35.317622 46.926724 0.0)",Strike,
"POINT (35.210827 46.788785 0.0)",Strike,
"POINT (35.265144 46.719542 0.0)",Strike,
"POINT (36.656716 49.845972 0.0)",Missile Strike,
"POINT (35.182863 46.711356 0.0)",Explosion?,
"POINT (35.824908 50.392765 0.0)",Helicopter Attack,
"POINT (35.465807 50.700306 0.0)",U Shelling,
"POINT (35.480399 50.699654 0.0)",U Shelling,
"POINT (35.665629 50.468443 0.0)",U Shelling,
"POINT (36.8947 50.403 0.0)",U Shelling,
"POINT (36.93515 50.4 0.0)",U Shelling,
"POINT (36.818635 50.37678 0.0)",U Shelling,
"POINT (36.82197 50.3737 0.0)",U Shelling,
"POINT (36.84546 50.3645 0.0)",U Shelling,
"POINT (36.836316 50.360579 0.0)",U Shelling,
"POINT (36.84269 50.3488 0.0)",U Shelling,
"POINT (36.83926 50.3433 0.0)",U Shelling,
"POINT (36.738684 50.333378 0.0)",U Shelling,
"POINT (36.717398 50.317378 0.0)",U Shelling,
"POINT (36.73541 50.299864 0.0)",U Shelling,
"POINT (37.726494 49.84702 0.0)",U Shelling,
"POINT (37.699709 49.826256 0.0)",U Shelling,
"POINT (37.703495 49.81157 0.0)",U Shelling,
"POINT (37.756257 49.791367 0.0)",U Shelling,
"POINT (37.706818 49.78915 0.0)",U Shelling,
"POINT (37.803635 49.787377 0.0)",U Shelling,
"POINT (37.922092 49.68543 0.0)",U Shelling,
"POINT (37.985172 49.654558 0.0)",U Shelling,
"POINT (37.972365 49.546145 0.0)",U Shelling,
"POINT (37.974587 49.52922 0.0)",U Shelling,
"POINT (37.992278 49.526316 0.0)",U Shelling,
"POINT (37.954022 49.484464 0.0)",U Shelling,
"POINT (37.978742 49.483795 0.0)",U Shelling,
"POINT (37.958142 49.457468 0.0)",U Shelling,
"POINT (38.03255 49.443394 0.0)",U Shelling,
"POINT (37.950359 49.411027 0.0)",U Shelling,
"POINT (38.028311 49.24617 0.0)",U Shelling,
"POINT (38.047133 49.225558 0.0)",U Shelling,
"POINT (38.081465 49.196176 0.0)",U Shelling,
"POINT (38.012554 49.038278 0.0)",U Shelling,
"POINT (38.225569 49.037754 0.0)",U Shelling,
"POINT (38.03899 49.0304 0.0)",U Shelling,
"POINT (38.111431 48.989865 0.0)",U Shelling,
"POINT (38.272261 48.960721 0.0)",U Shelling,
"POINT (38.228315 48.952605 0.0)",U Shelling,
"POINT (38.259802 48.94332 0.0)",U Shelling,
"POINT (38.200263 48.93691 0.0)",U Shelling,
"POINT (38.266953 48.935948 0.0)",U Shelling,
"POINT (38.278969 48.91542 0.0)",U Shelling,
"POINT (38.299569 48.907297 0.0)",U Shelling,
"POINT (38.275193 48.90662 0.0)",U Shelling,
"POINT (38.247212 48.876824 0.0)",U Shelling,
"POINT (38.232964 48.8688 0.0)",U Shelling,
"POINT (38.296135 48.849947 0.0)",U Shelling,
"POINT (38.272971 48.825488 0.0)",U Shelling,
"POINT (38.269538 48.80423 0.0)",U Shelling,
"POINT (38.197081 48.74998 0.0)",U Shelling,
"POINT (38.031385 48.746568 0.0)",U Shelling,
"POINT (38.055121 48.745411 0.0)",U Shelling,
"POINT (38.237175 48.74315 0.0)",U Shelling,
"POINT (38.213314 48.74191 0.0)",U Shelling,
"POINT (38.031704 48.72391 0.0)",U Shelling,
"POINT (37.922796 48.707483 0.0)",U Shelling,
"POINT (37.920564 48.704651 0.0)",U Shelling,
"POINT (38.027379 48.701774 0.0)",U Shelling,
"POINT (37.912153 48.693888 0.0)",U Shelling,
"POINT (37.900004 48.6937 0.0)",U Shelling,
"POINT (37.906098 48.69013 0.0)",U Shelling,
"POINT (37.910948 48.684677 0.0)",U Shelling,
"POINT (37.994965 48.6565 0.0)",U Shelling,
"POINT (37.928169 48.6517 0.0)",U Shelling,
"POINT (37.889374 48.647285 0.0)",U Shelling,
"POINT (37.896068 48.644109 0.0)",U Shelling,
"POINT (37.956665 48.632954 0.0)",U Shelling,
"POINT (37.950092 48.627687 0.0)",U Shelling,
"POINT (38.040906 48.620804 0.0)",U Shelling,
"POINT (37.952501 48.596963 0.0)",U Shelling,
"POINT (38.03095 48.5792 0.0)",U Shelling,
"POINT (37.96589 48.578801 0.0)",U Shelling,
"POINT (37.963313 48.57579 0.0)",U Shelling,
"POINT (37.999873 48.56716 0.0)",U Shelling,
"POINT (37.948724 48.550469 0.0)",U Shelling,
"POINT (37.969324 48.537855 0.0)",U Shelling,
"POINT (37.926752 48.535922 0.0)",U Shelling,
"POINT (37.919581 48.53467 0.0)",U Shelling,
"POINT (37.956964 48.5333 0.0)",U Shelling,
"POINT (37.944776 48.5333 0.0)",U Shelling,
"POINT (37.90907 48.522963 0.0)",U Shelling,
"POINT (37.952838 48.521927 0.0)",U Shelling,
"POINT (37.916706 48.51193 0.0)",U Shelling,
"POINT (38.020095 48.509745 0.0)",U Shelling,
"POINT (38.016662 48.495641 0.0)",U Shelling,
"POINT (37.958881 48.469445 0.0)",U Shelling,
"POINT (37.952014 48.452939 0.0)",U Shelling,
"POINT (37.997357 48.381152 0.0)",U Shelling,
"POINT (38.011433 48.34739 0.0)",U Shelling,
"POINT (37.846108 48.272747 0.0)",U Shelling,
"POINT (37.780533 48.249662 0.0)",U Shelling,
"POINT (37.724157 48.21876 0.0)",U Shelling,
"POINT (37.883187 48.218561 0.0)",U Shelling,
"POINT (37.722859 48.207849 0.0)",U Shelling,
"POINT (37.7105 48.204417 0.0)",U Shelling,
"POINT (37.897263 48.203003 0.0)",U Shelling,
"POINT (37.791998 48.162939 0.0)",U Shelling,
"POINT (37.822124 48.121444 0.0)",U Shelling,
"POINT (37.870532 48.11984 0.0)",U Shelling,
"POINT (37.642903 48.106964 0.0)",U Shelling,
"POINT (37.628312 48.103067 0.0)",U Shelling,
"POINT (37.63741 48.102952 0.0)",U Shelling,
"POINT (37.77438 48.10275 0.0)",U Shelling,
"POINT (37.652124 48.098874 0.0)",U Shelling,
"POINT (37.724393 48.096581 0.0)",U Shelling,
"POINT (37.666543 48.093256 0.0)",U Shelling,
"POINT (37.724114 48.089458 0.0)",U Shelling,
"POINT (37.654184 48.088899 0.0)",U Shelling,
"POINT (37.64462 48.0758 0.0)",U Shelling,
"POINT (37.649526 48.066249 0.0)",U Shelling,
"POINT (37.613342 48.06505 0.0)",U Shelling,
"POINT (37.626923 48.06037 0.0)",U Shelling,
"POINT (37.586488 48.035181 0.0)",U Shelling,
"POINT (37.575542 48.003002 0.0)",U Shelling,
"POINT (37.505794 47.951777 0.0)",U Shelling,
"POINT (37.499148 47.951854 0.0)",U Shelling,
"POINT (37.504034 47.941544 0.0)",U Shelling,
"POINT (37.573456 47.919598 0.0)",U Shelling,
"POINT (37.539467 47.864924 0.0)",U Shelling,
"POINT (37.565887 47.830922 0.0)",U Shelling,
"POINT (36.799599 47.79976 0.0)",U Shelling,
"POINT (36.701409 47.78708 0.0)",U Shelling,
"POINT (37.489669 47.785728 0.0)",U Shelling,
"POINT (36.803032 47.779005 0.0)",U Shelling,
"POINT (36.951004 47.757776 0.0)",U Shelling,
"POINT (37.307937 47.7548 0.0)",U Shelling,
"POINT (37.233779 47.749729 0.0)",U Shelling,
"POINT (36.598412 47.746234 0.0)",U Shelling,
"POINT (37.417114 47.742111 0.0)",U Shelling,
"POINT (37.123254 47.73496 0.0)",U Shelling,
"POINT (37.404754 47.732182 0.0)",U Shelling,
"POINT (36.669136 47.731688 0.0)",U Shelling,
"POINT (36.677719 47.721527 0.0)",U Shelling,
"POINT (37.414279 47.70789 0.0)",U Shelling,
"POINT (37.16022 47.669063 0.0)",U Shelling,
"POINT (36.366456 47.62553 0.0)",U Shelling,
"POINT (36.393184 47.617109 0.0)",U Shelling,
"POINT (37.50011 47.611695 0.0)",U Shelling,
"POINT (36.258258 47.593961 0.0)",U Shelling,
"POINT (36.289734 47.587361 0.0)",U Shelling,
"POINT (36.177546 47.56822 0.0)",U Shelling,
"POINT (35.664611 47.493831 0.0)",U Shelling,
"POINT (35.804687 47.491048 0.0)",U Shelling,
"POINT (36.130157 47.49058 0.0)",U Shelling,
"POINT (36.260884 47.48501 0.0)",U Shelling,
