WKT,name,description
"LINESTRING (29.6948586 46.3978138, 29.8157082 46.5491372, 29.6673928 46.5037844, 28.9972267 47.0978984, 28.4424172 48.0943203, 28.4808693 48.1749732, 28.2666359 48.1053259)",Tensions Mount,
"LINESTRING (23.646703 51.6946175, 23.7477512 51.6594352, 23.7071278 51.6997246, 24.4102528 51.9391106, 25.2589467 52.00679, 26.7887928 51.9035379, 27.6896717 51.6673697, 27.7775624 51.6758864, 27.714391 51.6213518)",Belarusians doing military maneuvers,In the Volyn and Polissya directions, certain units of the Armed Forces of the republic of belarus perform tasks to cover the Ukrainian-belarusian border. The threat of missile and bomb strikes from the territory of the republic of belarus remains.
"LINESTRING (33.5248299 52.5055753, 33.5907479 52.4118547, 33.6896249 52.4788183, 33.9478036 52.4420009, 34.6509286 51.8656911, 35.5518075 51.0545711, 35.8041 50.53133, 35.9528084 50.5337371, 35.8868905 50.4743428)",Russian Reserve Troop Movement,In the Siverskyy direction, russian enemy continues to take measures to strengthen the Ukrainian-russian border in the Bryansk and Kursk regions. russian occupiers do not stop shelling the positions of the Defense Forces, which are deployed in the immediate vicinity of the state border of Ukraine in Sumy and Chernihiv oblasts.
"LINESTRING (32.341449 46.7864039, 32.3802445 46.7739432, 32.3757813 46.7805265, 32.3701164 46.772885, 32.3802445 46.7735905)",Ukrainian Advance,
"LINESTRING (37.2499722 48.964635, 37.2542638 48.9587742, 37.2471398 48.9569708, 37.24199 48.9633953, 37.2452516 48.9622119, 37.2408742 48.9614793, 37.2419042 48.9636207)",Russian Attack Repelled,
"LINESTRING (38.54792 48.946756, 38.5370195 48.9418515, 38.5390795 48.9442193, 38.5417402 48.9417952, 38.536762 48.9417952)",Russian Attack,
"LINESTRING (38.5774212 48.8143135, 38.5720999 48.817874, 38.5740739 48.8175067, 38.5719711 48.8166024, 38.572057 48.8179305)",Russian Attack,
"LINESTRING (38.5927358 48.7731184, 38.5775861 48.7766538, 38.5801182 48.7771629, 38.5794315 48.7749852, 38.5777149 48.7765407)",Russian Attack,
"LINESTRING (38.3787848 48.6799631, 38.3911026 48.6968497, 38.390888 48.6945551, 38.388184 48.6952633, 38.3912313 48.6968497)",Russian Attack,
"LINESTRING (38.2353789 48.7443348, 38.2407004 48.7390426, 38.2403571 48.7408539, 38.2385976 48.7395803, 38.2406575 48.7390143)",Ukrainian Advance,
"LINESTRING (38.2526442 48.738239, 38.2527729 48.7517659, 38.2538458 48.7500682, 38.2514426 48.7500682, 38.2529446 48.7517659)",Russian Attack,
"LINESTRING (38.124477 48.3772058, 38.1297975 48.3898012, 38.1303124 48.3856411, 38.1261075 48.3870089, 38.1298833 48.3898012)",Russian Attack,
"POINT (36.7468946 49.3656451)",Artillery,
"POINT (36.1278514 49.8125295)",Shelling,
"POINT (36.4355685 50.0416315)",Shelling,
"POINT (36.4143528 50.1133779)",Shelling,
"POINT (36.4304513 50.132355)",Shelling,
"POINT (36.0801888 50.3925321)",Shelling,
"POINT (35.9166238 50.3594219)",Shelling,
"POINT (34.1514153 51.2511646)",Shelling,
"POINT (34.209866 51.2679229)",Shelling,
"POINT (33.2987625 52.2603143)",Shelling,
"POINT (32.5624135 52.2833945)",Shelling,
"POINT (37.3119024 49.0244197)",Air Strike,
"POINT (38.4598098 48.8910552)",Air Strike,
"POINT (38.1650005 48.8475461)",Air Strike,
"POINT (38.0966092 48.8647191)",Missile Strike,
"POINT (38.0523776 48.6852102)",Missile Strike,
"POINT (32.2567684 46.8031418)",Shelling,
"POINT (32.3477376 46.7882833)",Shelling,
"POINT (32.5368149 47.065801)",Shelling,
"POINT (33.9090298 47.42853)",Shelling,
"POINT (33.9111111 47.499544)",Shelling,
"POINT (36.99046 49.32351)",Shelling,
"POINT (36.98014 49.3246)",Shelling,
"POINT (36.99424 49.32228)",Shelling,
"POINT (36.9843 49.32198)",Shelling,
"POINT (37.68161 48.97071)",Shelling,
"POINT (37.67267 48.96432)",Shelling,
"POINT (37.80469 48.91754)",Shelling,
"POINT (37.79629 48.9058)",Shelling,
"POINT (37.79351 48.92784)",Shelling,
"POINT (38.10685 48.98448)",Shelling,
"POINT (38.26684 49.06585)",Shelling,
"POINT (38.41157 48.94226)",Shelling,
"POINT (38.39477 48.94113)",Shelling,
"POINT (38.40545 48.94429)",Shelling,
"POINT (38.38217 48.70123)",Shelling,
"POINT (38.3885 48.70019)",Shelling,
"POINT (38.23281 48.77647)",Shelling,
"POINT (37.91501 48.63361)",Shelling,
"POINT (37.91077 48.63469)",Shelling,
"POINT (37.9283 48.63235)",Shelling,
"LINESTRING (37.8535712 48.9306378, 37.8528845 48.9177232, 37.8552019 48.9206561, 37.8509104 48.9208253, 37.8529703 48.9176668)",Russian Advance,
"LINESTRING (37.8041885 48.9239295, 37.7850482 48.9171051, 37.7872798 48.919192, 37.7883956 48.9166539, 37.7851341 48.9170487)",Russian Advance,
"LINESTRING (38.5834656 48.8673616, 38.5703336 48.868886, 38.5732519 48.8695634, 38.5723936 48.8677568, 38.5703336 48.8686601)",Russian Attack,
"LINESTRING (37.76959 48.9292291, 37.7471023 48.919529, 37.7489906 48.9225746, 37.7509647 48.9198675, 37.7475315 48.919529)",Russian Attack,
"LINESTRING (38.5873704 48.9320512, 38.5703759 48.9314874, 38.5741524 48.9329534, 38.5738091 48.9295701, 38.5703759 48.9316001)",Russian Attack,
"POINT (38.4931019 48.94410299999999)",Jazz Mall,
"POINT (38.4981123 48.949661)",Central Marketplace,
"LINESTRING (38.512833 48.9540669, 38.5018467 48.9476976, 38.5036491 48.9501214, 38.5057949 48.9478103, 38.5018467 48.9476412)",Russian Attack,
"POINT (38.1958462 48.6670364)",Fighting Continues,
"POINT (38.2607716 48.7233803)",Fighting Continues,
"POINT (38.2588182 48.4879175)",Fighting Continues,
"POINT (38.2529867 48.7529103)",Fighting Continues,
"POINT (38.5742328 48.7779968)",Fighting Continues,
"POINT (38.5709626 48.8186737)",Fighting Continues,
"POINT (38.3940242 48.697579)",Fighting Continues,
"POINT (38.1304645 48.3921998)",Fighting Continues,
"POINT (38.2035875 48.4695388)",Fighting Continues,
"POINT (32.3870411 46.7764929)",Engagement between UKR and RUS special forces,
"POINT (33.1543474 47.1427918)",Fighting Continues,
"POINT (33.1115179 47.1636877)",Fighting Continues,
"POINT (33.1520501 47.2022221)",Fighting Continues,
"POINT (38.1924007 48.7219995)",Mortar Fire,
"POINT (38.2610652 48.7697672)",Mortar Fire,
"POINT (38.2485021 48.75106)",Mortar Fire,
"POINT (38.2255853 48.7379858)",Mortar Fire,
"POINT (37.7983428 48.1274658)",Artillery Fire,
"POINT (37.7928496 48.1444208)",Artillery Fire,
"POINT (37.7840949 48.1658357)",Artillery Fire,
"POINT (37.7866698 48.1567898)",Air Strike,
"POINT (37.7473593 48.1412135)",Air Strike,
"POINT (37.7822066 48.1763681)",Air Strike,
"POINT (37.7338867 48.0649401)",Artillery Shelling,
"POINT (37.7192955 48.0672918)",Artillery Shelling,
"POINT (37.727742 48.0679566)",Air Strike,
"POINT (38.0944736 48.4239674)",Gas Leak,
