WKT,name,description
"POINT (33.512592315673835 44.770746153572915)",Missile Launches,3 or 8 missiles
"POINT (32.7705 47.0787778)",Shelling,
"POINT (33.5320887 47.5096678)",Shelling,
"POINT (33.9580556 47.3755833)",Shelling,
"POINT (36.4175825 47.8814582)",Shelling with Tornado MLRS,
"POINT (37.7449167 48.1266944)",Air Strike,
"POINT (38.1331944 48.6271944)",Air Strike,
"POINT (37.8482222 48.2678889)",Air Strike,
"POINT (38.223986 48.5179967)",Air Strike,
"POINT (37.8505278 48.3287778)",Air Strike,
"POINT (37.8003997 48.3841357)",Air Strike,
"POINT (37.49926 47.94079)",Shelling,
"POINT (37.51553 47.93516)",Shelling,
"POINT (37.64519 47.94387)",Shelling,
"POINT (37.98746 48.76529)",Shelling,
"POINT (38.14815 48.80314)",Shelling,
"POINT (38.08019 48.97616)",Shelling,
"POINT (38.06599 48.97088)",Shelling,
"POINT (38.16642 48.95646)",Shelling,
"POINT (37.5907612 49.0396535)",Shelling,
"POINT (37.58411 49.04493)",Shelling,
"POINT (37.55292 49.07003)",Shelling,
"POINT (37.64826 49.05932)",Shelling,
"POINT (37.65191 49.02805)",Shelling,
"POINT (36.83212 50.06533)",Shelling,
"POINT (36.83415 50.06027)",Shelling,
"POINT (36.79172 50.07575)",Shelling,
"POINT (36.83233 50.20406)",Shelling,
"POINT (36.42553 50.13784)",Shelling,
"POINT (36.4069 50.14207)",Shelling,
"POINT (31.6832 46.50937)",Shelling,
"POINT (31.72534 46.50976)",Shelling,
"POINT (32.2081 46.83085)",Shelling,
"POINT (32.53996 47.06522)",Shelling,
"POINT (32.67558 47.051)",Shelling,
"POINT (32.78314 47.04276)",Shelling,
"POINT (33.09692 47.1703)",Shelling,
"POINT (34.32819 47.62947)",Shelling,
"POINT (35.78466 47.56277)",Shelling,
"LINESTRING (37.6165757 49.0584843, 37.5970921 49.049597, 37.599667 49.0528033, 37.6016411 49.0492032, 37.5970063 49.0495407)",Russian Attack,
"LINESTRING (37.5802543 49.107464, 37.5636031 49.0836344, 37.5627448 49.0881315, 37.568238 49.0859954, 37.5632598 49.083522)",Russian Attack,
"POINT (37.5675 49.02825)",Shelling,killed 2 monks and a nun
"POINT (37.0771111 48.98136110000001)",Shelling,
"POINT (35.9819444 50.2724444)",Shelling,
"POINT (33.1610899 47.1119011)",Fighting,
"POINT (33.2109528 47.1584882)",Fighting, contested,
"POINT (33.1436616 47.1396922)",Fighting, Contested,
"POINT (37.7136169 48.9636238)",Heavy Fighting,
"POINT (38.3979619 48.6953118)",Heavy Fighting,
"POINT (37.5495385 49.0763204)",Heavy Fighting,
"POINT (37.5797986 49.0496319)",Heavy Fighting,
"POINT (38.454694 48.9544366)",Heavy Fighting,
"POINT (38.4605304 48.9456435)",Heavy Fighting,
"POINT (38.5728203 48.7787023)",Fighting,
"POINT (33.1260591 47.1372541)",Heavy Shelling,
"POINT (33.1114289 47.1451037)",Heavy Shelling,
"LINESTRING (38.5004284 48.9397078, 38.4767391 48.9344079, 38.4812023 48.9379036, 38.4842922 48.9328292, 38.4763958 48.9344079)",Russian Advance,
"LINESTRING (38.4853276 48.9595349, 38.4686765 48.9529972, 38.4721097 48.9566043, 38.4746846 48.9527718, 38.4686765 48.9527718)",Russian Advance,
"LINESTRING (37.2470062 48.991776, 37.2928398 49.0130601, 37.28769 49.0070924, 37.2830551 49.0130601, 37.2928398 49.0130601)",Russian Attack, repelled,
"LINESTRING (37.3599594 49.0518887, 37.2737854 49.1325999, 37.2868317 49.126085, 37.2794487 49.1232607, 37.2741287 49.1325999)",Russian Withdraw due to heavy casualties,
"POINT (37.4668824 49.0406725)",Fighting continues, no progress,
"POINT (37.7858184 48.9089101)",Fighting Continues,Pockets of fighting
"POINT (37.7794669 48.9195146)",Fighting Continues,Pockets of fighting
"POINT (38.5124622 48.6913022)",Shelling,
"POINT (38.519157 48.6830294)",Fighting Continues,
"LINESTRING (37.8349463 48.2060088, 37.801644 48.2086972, 37.8055922 48.2096124, 37.8042189 48.2072672, 37.8015582 48.2086972)",Russian Capture?,I thought they captured this already? But maybe they only rolled through and it was a gray area?
"LINESTRING (37.8665246 48.2873318, 37.854165 48.2902444, 37.8587998 48.2903586, 37.8564824 48.288474, 37.8539933 48.2902444)",Russian Attack,
