WKT,name,description
"LINESTRING (37.3189984 49.0164318, 37.3198567 49.0026938, 37.3215736 49.0053966, 37.3172817 49.0050588, 37.3200285 49.0023559)",Russian Attack,
"LINESTRING (37.5514012 49.037193, 37.5297719 49.0248125, 37.5306302 49.027514, 37.5342351 49.0251502, 37.5290852 49.0245874)",Russian Advance,
"LINESTRING (37.591055 49.04597, 37.5948315 49.0374743, 37.5952607 49.0392186, 37.5931149 49.0387122, 37.5947457 49.0374181)",Russian Attack,Doubtful success
"LINESTRING (38.6003913 48.8661434, 38.5732688 48.8688535, 38.5764446 48.8694745, 38.5761013 48.8678937, 38.5730114 48.868797)",Russian Advance,
"LINESTRING (38.5738734 48.9083026, 38.5433123 48.9039578, 38.5458876 48.9055942, 38.5464885 48.9029985, 38.5433123 48.9039014)",Russian Advance,
"LINESTRING (38.2683497 48.6140705, 38.2504969 48.6128221, 38.2532435 48.6146379, 38.2535868 48.6115737, 38.2503253 48.6127086)",Russian Attack,Claim capture, no evidence
"POINT (38.2513791 48.7487105)",Ongoing fighting,Russia has suffered huge losses
"POINT (36.7987589 50.1488506)",Ongoing Fighting,
"POINT (38.5658317 48.8191973)",Ongoing Fighting,
"POINT (38.5214389 48.6851062)",Ongoing Heavy Fighting,
"POINT (38.2228701 48.7325047)",Ongoing Fighting,
"POINT (38.4399565 48.7021739)",Ongoing Fighting,
"POINT (38.3727183 48.7383639)",Ongoing Fighting,
"POINT (38.3331779 48.7584353)",Ongoing Fighting,
"POINT (38.1639554 48.4186998)",Ongoing Fighting,
"POINT (36.1769602 50.2759266)",Ongoing Fighting,
"POINT (36.303303 50.1983004)",Ongoing fighting,
"POINT (36.6678832 50.1920694)",Ongoing fighting,
"POINT (37.6225815 48.8532731)",Air Strike,
"POINT (38.1460633 48.6653503)",Air Strike,
"POINT (38.1329444 48.6245833)",Air Strike,
"POINT (38.1635771 48.5577148)",Air Strike,
"POINT (37.7806608 48.1796196)",Air Strike,
"POINT (37.4996944 47.9458333)",Air Strike,
"POINT (33.5261667 47.51997220000001)",Air Strike,
"POINT (32.1199167 46.6145556)",Air Strike,
"POINT (31.8496111 52.0898889)",Shelling,
"POINT (34.3204444 51.8725833)",Shelling,
"POINT (34.2303056 51.5286111)",Shelling,
"POINT (34.2474722 51.25138889999999)",Shelling,
"POINT (35.4813889 50.4205556)",Shelling,
"POINT (36.0715556 50.3896944)",Shelling,
"POINT (36.2624444 50.1729444)",Shelling,
"POINT (36.0811667 49.8260278)",Shelling,
"POINT (36.3035814 50.0267503)",Shelling,
"POINT (36.3613056 50.0373056)",Shelling,
"POINT (37.11851 50.2993)",,
"POINT (36.86073 50.18633)",Shelling,
"POINT (36.83674 50.1102)",Shelling,
"POINT (36.91497 49.86584)",Shelling,
"POINT (36.9806 49.87273)",Shelling,
"POINT (37.80413 49.88459)",49.88459	37.80413,
"POINT (36.7774167 49.72225)",Shelling,
"POINT (36.7018175 49.2126483)",Shelling,
"POINT (36.82596 49.36531)",Shelling,
"POINT (37.4499911 48.9419231)",Shelling,
"POINT (37.4341691 48.9975945)",Shelling,
"POINT (37.47434 49.01677)",Shelling,
"POINT (37.50451 49.00679)",Shelling,
"POINT (37.50608 49.01672)",Shelling,
"POINT (37.50901 49.02109)",Shelling,
"POINT (37.53863 49.03799)",Shelling,
"POINT (37.5906217 49.0378144)",Shelling,
"POINT (37.84341 48.90973)",Shelling,
"POINT (37.89615 48.96982)",Shelling,
"POINT (38.14254 48.98936)",Shelling,
"POINT (38.18777 49.04498)",Shelling,
"POINT (38.2996667 48.9980556)",Shelling,
"POINT (38.37491 49.04404)",Shelling,
"POINT (38.38189 49.04333)",Shelling,
"POINT (38.38129 49.04161)",Shelling,
"POINT (38.38768 49.03919)",Shelling,
"POINT (38.42321 48.91401)",Shelling,
"POINT (38.4361944 48.8941667)",Shelling,
"POINT (38.46347 48.98337)",Shelling,
"POINT (38.4815 48.9417778)",Shelling,
"POINT (38.51887 49.02596)",Shelling,
"POINT (38.52382 49.02648)",Shelling,
"POINT (38.53149 49.0412)",Shelling,
"POINT (38.533 49.03995)",Shelling,
"POINT (38.53576 49.03869)",Shelling,
"POINT (38.4909 48.93393)",Shelling,
"POINT (38.4952 48.93517)",Shelling,
"POINT (38.50208 48.95364)",Shelling,
"POINT (38.50116 48.93764)",Shelling,
"POINT (38.5054 48.94791)",Shelling,
"POINT (38.49585 48.9292)",Shelling,
"POINT (38.49829 48.93041)",Shelling,
