WKT,name,description
"POINT (36.135443 50.380229)",U Shelling,
"POINT (36.158789 50.351759)",U Shelling,
"POINT (36.181806 50.32488)",U Shelling,
"POINT (36.176509 50.31285)",U Shelling,
"POINT (36.26386 50.280373)",U Shelling,
"POINT (36.81273 50.2709)",U Shelling,
"POINT (36.23844 50.262077)",U Shelling,
"POINT (36.704686 50.256234)",U Shelling,
"POINT (36.231244 50.246794)",U Shelling,
"POINT (36.33846 50.2438)",U Shelling,
"POINT (36.25253 50.237133)",U Shelling,
"POINT (36.584867 50.217805)",U Shelling,
"POINT (36.326345 50.204183)",U Shelling,
"POINT (36.347288 50.19715)",U Shelling,
"POINT (36.97589 50.1571)",U Shelling,
"POINT (36.57072 50.1514)",U Shelling,
"POINT (37.14766 49.896)",U Shelling,
"POINT (37.12428 49.889784)",U Shelling,
"POINT (36.95823 49.6722)",U Shelling,
"POINT (36.84984 49.4846)",U Shelling,
"POINT (36.81255 49.4381)",U Shelling,
"POINT (36.83534 49.415083)",U Shelling,
"POINT (37.035665 49.41106)",U Shelling,
"POINT (37.01693 49.3935)",U Shelling,
"POINT (37.138619 49.223269)",U Shelling,
"POINT (37.0961 49.207)",U Shelling,
"POINT (37.00002 49.2046)",U Shelling,
"POINT (37.01595 49.1933)",U Shelling,
"POINT (37.209148 49.19026)",U Shelling,
"POINT (37.00258 49.1839)",U Shelling,
"POINT (37.191982 49.17186)",U Shelling,
"POINT (37.240734 49.168718)",U Shelling,
"POINT (37.29893 49.137)",U Shelling,
"POINT (37.32357 49.1269)",U Shelling,
"POINT (37.37082 49.1225)",U Shelling,
"POINT (37.186832 49.089414)",U Shelling,
"POINT (37.210387 49.070211)",U Shelling,
"POINT (37.201804 49.055139)",U Shelling,
"POINT (37.222746 49.053789)",U Shelling,
"POINT (37.461834 49.043527)",U Shelling,
"POINT (37.403469 49.034749)",U Shelling,
"POINT (37.48209 49.033624)",U Shelling,
"POINT (37.422888 49.024804)",U Shelling,
"POINT (37.412738 49.012911)",U Shelling,
"POINT (37.67847 48.9919)",U Shelling,
"POINT (37.74495 48.9786)",U Shelling,
"POINT (38.24152 48.921629)",U Shelling,
"POINT (38.227787 48.902224)",U Shelling,
"POINT (38.2693 48.882)",U Shelling,
"POINT (38.301953 48.848168)",U Shelling,
"POINT (38.262806 48.843513)",U Shelling,
"POINT (38.24051 48.8209)",U Shelling,
"POINT (38.245956 48.81001)",U Shelling,
"POINT (38.231708 48.79587)",U Shelling,
"POINT (38.178398 48.71754)",U Shelling,
"POINT (38.155245 48.696749)",U Shelling,
"POINT (38.108032 48.677088)",U Shelling,
"POINT (38.103524 48.670419)",U Shelling,
"POINT (38.111036 48.664505)",U Shelling,
"POINT (38.137558 48.662577)",U Shelling,
"POINT (38.108719 48.65305)",U Shelling,
"POINT (38.123482 48.629232)",U Shelling,
"POINT (38.142708 48.61221)",U Shelling,
"POINT (38.068684 48.603115)",U Shelling,
"POINT (38.072053 48.59651)",U Shelling,
"POINT (38.096456 48.535434)",U Shelling,
"POINT (38.107039 48.522769)",U Shelling,
"POINT (38.110505 48.51595)",U Shelling,
"POINT (38.102505 48.486843)",U Shelling,
"POINT (38.134434 48.465448)",U Shelling,
"POINT (38.088772 48.448827)",U Shelling,
"POINT (38.046886 48.444728)",U Shelling,
"POINT (38.082249 48.438807)",U Shelling,
"POINT (37.972934 48.386183)",U Shelling,
"POINT (37.955424 48.374781)",U Shelling,
"POINT (37.927958 48.356306)",U Shelling,
"POINT (37.925898 48.299468)",U Shelling,
"POINT (37.851741 48.278908)",U Shelling,
"POINT (37.833888 48.26908)",U Shelling,
"POINT (37.741191 48.23342)",U Shelling,
"POINT (37.76469 48.219837)",U Shelling,
"POINT (37.82184 48.1979)",U Shelling,
"POINT (37.823932 48.137511)",U Shelling,
"POINT (37.882983 48.116199)",U Shelling,
"POINT (37.822902 48.115053)",U Shelling,
"POINT (37.775523 48.098776)",U Shelling,
"POINT (37.722995 48.083182)",U Shelling,
"POINT (37.677676 48.065059)",U Shelling,
