WKT,name,description
"LINESTRING (37.8960201 49.0612759, 37.9290096 49.0167009, 37.9300412 49.0335629, 37.9290096 49.0167009, 37.9072382 49.0262019)",Ukrainian Advance,
"LINESTRING (37.721084 48.967106 0.0, 37.75567 48.990274 0.0, 37.75007 48.975165 0.0, 37.75567 48.990274 0.0, 37.732464 48.986814 0.0)",Ukrainian Advance,
"LINESTRING (37.753955 49.233198 0.0, 37.80047 49.264481 0.0, 37.794838 49.249373 0.0, 37.80047 49.264481 0.0, 37.777134 49.261022 0.0)",Ukrainian Advance,
"LINESTRING (33.1048599 47.2408045, 33.1817655 47.2404548, 33.1585908 47.2304309, 33.1817655 47.2403383, 33.1573891 47.2488455)",Ukrainian Attack,
"LINESTRING (33.8697794 47.4277666, 33.8825033 47.3771525, 33.8900251 47.3937821, 33.8825033 47.3771525, 33.8672541 47.3908372)",Ukrainian Attack,
"LINESTRING (37.663506 49.643136 0.0, 37.701908 49.608669 0.0, 37.698525 49.626108 0.0, 37.701908 49.608669 0.0, 37.677134 49.61617 0.0)",Ukrainian Attack,
"LINESTRING (33.7770526 47.4121793, 33.7326936 47.3943429, 33.7408795 47.4055013, 33.7326936 47.3943429, 33.7516425 47.3943026)",Ukrainian Attack,
"LINESTRING (37.659207 49.293631 0.0, 37.608527 49.330522 0.0, 37.615825 49.31202 0.0, 37.608527 49.330522 0.0, 37.634868 49.325333 0.0)",Ukrainian Attack,
"LINESTRING (37.9300647 48.9966256, 37.9510595 48.9941614, 37.9383787 48.9828007, 37.9510595 48.9941614, 37.8888042 48.9776672)",Ukrainian Attack,
"LINESTRING (37.705182 49.016041 0.0, 37.756485 49.006153 0.0, 37.739422 49.017148 0.0, 37.756485 49.006153 0.0, 37.733875 49.002764 0.0)",Ukrainian Attack,
"LINESTRING (37.7561361 49.8477796, 37.8032413 49.8790626, 37.7975369 49.8639536, 37.8032413 49.8790626, 37.7796092 49.8756026)",Ukrainian Attack,
"LINESTRING (37.670779 49.298121 0.0, 37.675001 49.33576 0.0, 37.66146 49.323051 0.0, 37.675001 49.33576 0.0, 37.684657 49.322064 0.0)",Ukrainian Attack,
"LINESTRING (37.7422778 49.6894855, 37.7807172 49.6550185, 37.7773312 49.6724575, 37.7807172 49.6550185, 37.7559189 49.6625195)",Ukrainian Attack,
"LINESTRING (37.853373 49.16927 0.0, 37.915869 49.185765 0.0, 37.894793 49.188229 0.0, 37.915869 49.185765 0.0, 37.903139 49.174404 0.0)",Ukrainian Attack,
"LINESTRING (38.043647 48.959829 0.0, 37.993307 48.99672 0.0, 38.019472 48.991531 0.0, 37.993307 48.99672 0.0, 38.000556 48.978218 0.0)",Ukrainian Attack,
"LINESTRING (37.9655299 48.9372941, 37.9697218 48.9749321, 37.9562769 48.9622241, 37.9697218 48.9749321, 37.9793069 48.9612371)",Ukrainian Attack,
"LINESTRING (38.16379 48.972169 0.0, 38.182416 49.014833 0.0, 38.165382 49.005514 0.0, 38.182416 49.014833 0.0, 38.187806 48.99995 0.0)",Ukrainian Attack,
"LINESTRING (33.1541505 47.1948192, 33.1782875 47.230292, 33.1568793 47.2190725, 33.1782875 47.230292, 33.1800837 47.211939)",Ukrainian Attack,
"LINESTRING (38.108007 48.951271 0.0, 38.112199 48.98891 0.0, 38.098753 48.976201 0.0, 38.112199 48.98891 0.0, 38.121788 48.975214 0.0)",Ukrainian Attack,
"LINESTRING (37.842895 48.924212 0.0, 37.835654 48.962755 0.0, 37.826416 48.948455 0.0, 37.835654 48.962755 0.0, 37.849933 48.95071 0.0)",Ukrainian Attack,
"LINESTRING (38.146315 48.66094 0.0, 38.100004 48.655583 0.0, 38.113596 48.66348 0.0, 38.100004 48.655583 0.0, 38.11719 48.650956 0.0)",Russian Attack,
"LINESTRING (38.082092 48.483344 0.0, 38.078692 48.519845 0.0, 38.070005 48.506227 0.0, 38.078692 48.519845 0.0, 38.090938 48.507173 0.0)",Russian Attack,
"LINESTRING (37.704814 48.04682 0.0, 37.657351 48.066498 0.0, 37.669512 48.052851 0.0, 37.657351 48.066498 0.0, 37.68006 48.065984 0.0)",Russian Attack,
"LINESTRING (37.90218 48.316399 0.0, 37.851563 48.326292 0.0, 37.873879 48.329645 0.0, 37.851563 48.326292 0.0, 37.868408 48.315262 0.0)",Russian Attack,
"LINESTRING (38.102783 48.56023 0.0, 38.08573 48.533783 0.0, 38.082724 48.545888 0.0, 38.08573 48.533783 0.0, 38.100901 48.540689 0.0)",Russian Attack,
"LINESTRING (37.8315536 49.6542911, 37.7900498 49.6727181, 37.8027505 49.6571441, 37.7900498 49.6727181, 37.8162207 49.6716341)",Russian Attack,
"LINESTRING (38.0860403 48.6219725, 38.040628 48.6041364, 38.0490082 48.6152948, 38.040628 48.6041364, 38.0600266 48.604096)",Russian Attack,
"LINESTRING (37.8151911 49.7651112, 37.7740981 49.7466012, 37.8001033 49.7484442, 37.7740981 49.7466012, 37.7836672 49.7609942)",Russian Attack,
"LINESTRING (36.2813506 50.3117773, 36.2153649 50.3231232, 36.2339315 50.3126554, 36.2153649 50.3231232, 36.2391349 50.3267739)",Russian Attack,
"POINT (32.0654602 46.9421399)",Drone Strike,
"POINT (33.5496734 44.68616)",Explosion!,Runway excursion, plane explode
"POINT (37.2108599 47.8533304)",Missile Strike,
"POINT (34.3541492 47.5684697)",Missile Strike,
"POINT (31.5690155 46.6304244)",Missile Strike,
"POINT (37.3017454 48.0071797)",Missile Strike,
"POINT (36.0143523 47.9551268)",Missile Strike,
"POINT (30.7203216 46.4566267)",Missile Strike,
"POINT (37.1003099 47.8348967)",Missile Strike,
"POINT (33.8885797 47.4060604)",Airstrike,
"POINT (33.7656716 47.3988571)",Airstrike,
"POINT (37.4913409 47.9448164)",Airstrike,
"POINT (38.0029729 48.6021773)",Airstrike,
"POINT (37.842292 48.33069)",Airstrike,
"POINT (33.106023 47.155709)",Airstrike,
"POINT (33.008305 47.1773629)",Airstrike,
"POINT (37.4932268 47.8502405)",Airstrike,
"POINT (38.1413453 49.0228093)",Airstrike,
"POINT (38.036433 48.5956508)",Airstrike,
"POINT (38.248494 48.93118)",Airstrike,
"POINT (37.9504579 49.0020924)",Airstrike,
"POINT (37.9187989 49.0911106)",Airstrike,
"POINT (37.2240733 47.7405184)",Airstrike,
"POINT (38.0854385 48.6718644)",Airstrike,
"POINT (32.9962684 47.1725975)",Airstrike,
"POINT (38.271833 48.80856)",Airstrike,
"POINT (38.0693023 48.5292829)",Airstrike,
"POINT (36.5450894 47.7304014)",Airstrike,
"POINT (36.1806226 47.6406099)",Airstrike,
"POINT (38.0184871 48.4976985)",Airstrike,
"POINT (36.4929044 47.7091519)",Airstrike,
"POINT (34.200133 51.890132)",R Shelling,
"POINT (35.862097 50.412185)",R Shelling,
"POINT (36.070151 50.389426)",R Shelling,
"POINT (37.426063 50.387848)",R Shelling,
"POINT (36.190314 50.338397)",R Shelling,
"POINT (37.211947 50.338143)",R Shelling,
"POINT (36.39944 50.3019)",R Shelling,
"POINT (36.843702 50.299156)",R Shelling,
"POINT (36.264128 50.29279)",R Shelling,
"POINT (36.259754 50.28202)",R Shelling,
"POINT (37.515194 50.184197)",R Shelling,
"POINT (37.827373 49.984732)",R Shelling,
"POINT (37.67674 49.8509)",R Shelling,
"POINT (37.767291 49.848555)",R Shelling,
"POINT (37.712619 49.84349)",R Shelling,
"POINT (37.732272 49.833056)",R Shelling,
"POINT (37.720438 49.718283)",R Shelling,
"POINT (37.675397 49.714568)",R Shelling,
"POINT (37.603977 49.70944)",R Shelling,
"POINT (37.638727 49.705628)",R Shelling,
"POINT (37.672716 49.687196)",R Shelling,
"POINT (37.702928 49.658313)",R Shelling,
"POINT (37.681986 49.630079)",R Shelling,
"POINT (37.653423 49.306411)",R Shelling,
"POINT (37.610164 49.267445)",R Shelling,
"POINT (37.720714 49.240106)",R Shelling,
"POINT (37.799409 49.18476)",R Shelling,
"POINT (37.886007 49.083791)",R Shelling,
"POINT (37.923045 49.079497)",R Shelling,
"POINT (37.831726 49.04196)",R Shelling,
"POINT (37.930983 49.01381)",R Shelling,
"POINT (37.769912 49.000479)",R Shelling,
"POINT (37.721075 48.989498)",R Shelling,
"POINT (37.815626 48.984078)",R Shelling,
"POINT (37.958792 48.94125)",R Shelling,
"POINT (38.248494 48.93118)",R Shelling,
"POINT (38.191849 48.922005)",R Shelling,
"POINT (37.975676 48.89646)",R Shelling,
