WKT,name,description
"POLYGON ((37.9101538 48.6961931, 37.9189085 48.6938703, 37.9284982 48.6986123, 37.9327845 48.6970219, 37.9437651 48.6958842, 37.9501919 48.6987353, 37.9583036 48.7008211, 37.970513 48.703738, 37.9736077 48.7045714, 37.9560292 48.7014551, 37.9440987 48.7029845, 37.9325116 48.7032111, 37.9210835 48.6993726, 37.9101538 48.6961931))",Russian Advance,as of 3/15
"POLYGON ((37.9136507 48.6312516, 37.9141598 48.635678, 37.9162139 48.6360205, 37.9152583 48.6411864, 37.9167984 48.6448965, 37.9092453 48.6476185, 37.904868 48.6485825, 37.8987085 48.6480944, 37.89268 48.6477886, 37.8907917 48.6442727, 37.8913067 48.64104, 37.8934954 48.6395655, 37.9057626 48.6371389, 37.9136507 48.6312516))",Russian Advance,as of 3/16
"POLYGON ((38.0069346 48.6042422, 38.0064625 48.6056611, 38.0071277 48.6075198, 38.0070633 48.6097756, 38.0062908 48.6119179, 38.0045957 48.6142729, 38.003262 48.615935, 37.999217 48.616269, 37.993102 48.617602, 37.990804 48.619756, 37.989597 48.619925, 37.98534 48.6164836, 37.978216 48.6134761, 37.9747828 48.6124547, 37.9837815 48.6133973, 37.9861848 48.6144471, 37.9886524 48.6115956, 37.9918419 48.6119858, 37.9901897 48.6159438, 37.9924901 48.6163676, 37.9938634 48.615247, 37.9977667 48.6057543, 38.0015004 48.6039665, 38.0069346 48.6042422))",Russian Advance,as of 3/15
"POLYGON ((37.7315696 48.2110426, 37.7194597 48.2106955, 37.7191164 48.2054903, 37.7201034 48.2024298, 37.7226354 48.1986541, 37.7325347 48.19514, 37.7348501 48.198386, 37.7322899 48.2016331, 37.7315696 48.2110426))",Russian Control ,as of 3/15
"POLYGON ((37.8987085 48.6480944, 37.904868 48.6485825, 37.9092453 48.6476185, 37.9167984 48.6448965, 37.9217314 48.6556781, 37.9204223 48.6574215, 37.9235122 48.663261, 37.9128146 48.6653646, 37.8987085 48.6480944))",Russian Control,as of 3/17
"POINT (36.763874 46.643749 0.0)",Large fire reported where occupiers liked to rest,
"POINT (39.688447 47.224979 0.0)",Explosion at FSB building,
"POINT (25.076274 50.767869 0.0)",Explosions? Somewhere?,
"POINT (26.324343 50.579384 0.0)",Air Defense Active,
"POINT (30.83625 50.265949 0.0)",Air Defense Active,
"POINT (27.107024 49.333346 0.0)",Air Defense Active,
"POINT (35.205981 48.626913 0.0)",Explosion! Drone Attack,
