WKT,name,description
"POLYGON ((36.930572 47.764958, 36.904087 47.766121, 36.902198 47.746791, 36.929149 47.745579, 36.930572 47.764958))",Ukrainian Advance 6/22,as of 6/22
"POLYGON ((37.545847 47.983935, 37.54471 47.980732, 37.550691 47.974546, 37.554875 47.974345, 37.55597 47.97497, 37.556699 47.980866, 37.545847 47.983935))",Ukrainian Advance 6/22,

as of 6/22
"POLYGON ((37.797553 48.140657, 37.800842 48.141297, 37.800177 48.144333, 37.799096 48.145172, 37.796187 48.145281, 37.797553 48.140657))",Ukrainian Advance 6/22,

as of 6/22
"POLYGON ((37.79322 48.159246, 37.790557 48.156255, 37.792674 48.152897, 37.79482 48.153956, 37.79512 48.156103, 37.79322 48.159246))",Ukrainian Advance 6/22,

as of 6/22
"POLYGON ((37.772428 48.17023, 37.772582 48.170538, 37.772054 48.171136, 37.772629 48.171875, 37.771976 48.173242, 37.772594 48.176477, 37.773535 48.177516, 37.773856 48.178351, 37.774391 48.178527, 37.769894 48.17899, 37.760882 48.178432, 37.756226 48.177874, 37.7532 48.181494, 37.749188 48.184667, 37.750476 48.180861, 37.748502 48.176826, 37.772428 48.17023))",Ukrainian Advance 6/22,as of 6/22
"POLYGON ((37.90253 48.529416, 37.899725 48.52902, 37.904832 48.522483, 37.91116 48.514787, 37.915514 48.510474, 37.917464 48.513584, 37.917062 48.516089, 37.923354 48.516548, 37.923118 48.517713, 37.913881 48.517294, 37.908323 48.524698, 37.92385 48.525594, 37.923074 48.534994, 37.925841 48.535398, 37.92526 48.539211, 37.924884 48.538975, 37.913542 48.539336, 37.913714 48.53621, 37.911868 48.536125, 37.905254 48.534536, 37.907972 48.530915, 37.907028 48.529906, 37.90253 48.529416))",Ukrainian Advance 6/22,

as of 6/22
"POLYGON ((37.944308 48.548194, 37.947609 48.548336, 37.949476 48.549259, 37.949862 48.55068, 37.949948 48.551376, 37.949648 48.551901, 37.95381 48.552171, 37.954111 48.553009, 37.95351 48.553364, 37.956357 48.555421, 37.954955 48.55941, 37.961336 48.560086, 37.967654 48.561232, 37.967827 48.561949, 37.966274 48.565506, 37.964414 48.565298, 37.959807 48.571734, 37.957523 48.57122, 37.956681 48.573334, 37.954337 48.573148, 37.952195 48.573107, 37.952666 48.56234, 37.947838 48.561527, 37.939639 48.559979, 37.94257 48.555472, 37.944369 48.55085, 37.944823 48.549699, 37.944308 48.548194))",Ukrainian Advance 6/22,

as of 6/22


"POLYGON ((37.945113 48.611426, 37.940742 48.606055, 37.948398 48.599514, 37.961156 48.605394, 37.964188 48.606475, 37.966258 48.608047, 37.967255 48.609634, 37.965257 48.61099, 37.963537 48.609704, 37.961362 48.608918, 37.956451 48.609434, 37.953406 48.614234, 37.951333 48.616427, 37.951032 48.617378, 37.951805 48.618541, 37.953865 48.619278, 37.954809 48.62325, 37.958199 48.626115, 37.959487 48.625434, 37.960517 48.626172, 37.957942 48.628015, 37.959658 48.628469, 37.962663 48.630823, 37.963693 48.63261, 37.966868 48.634284, 37.964894 48.635361, 37.962834 48.634, 37.961246 48.634567, 37.956397 48.637942, 37.955453 48.637715, 37.95571 48.634539, 37.95511 48.634425, 37.953908 48.635702, 37.95132 48.635099, 37.9528 48.627937, 37.948925 48.627131, 37.943153 48.623309, 37.938404 48.62166, 37.943841 48.617285, 37.942649 48.614804, 37.943116 48.613328, 37.945113 48.611426))",Ukrainian Advance 6/22,
"POLYGON ((37.906558 48.691919, 37.904796 48.696139, 37.900265 48.698432, 37.894594 48.702622, 37.890606 48.701069, 37.883997 48.697188, 37.892541 48.693157, 37.897691 48.691372, 37.897691 48.685422, 37.900135 48.685914, 37.900176 48.690655, 37.904378 48.690902, 37.906558 48.691919))",Ukrainian Advance 6/22,

as of 6/22
"POLYGON ((38.092052 48.744982, 38.096654 48.742569, 38.105752 48.740418, 38.109014 48.723576, 38.109674 48.721566, 38.113252 48.71831, 38.114829 48.717914, 38.118069 48.721594, 38.115537 48.731687, 38.119427 48.732238, 38.121808 48.738375, 38.12552 48.739691, 38.148694 48.741941, 38.170121 48.741139, 38.172224 48.731572, 38.18836 48.734941, 38.185785 48.7393, 38.182094 48.740601, 38.179777 48.740375, 38.175872 48.742356, 38.174413 48.74445, 38.171276 48.749359, 38.161316 48.748934, 38.15593 48.749666, 38.143702 48.749279, 38.135572 48.751632, 38.124354 48.753418, 38.115277 48.753071, 38.106898 48.75334, 38.097715 48.749381, 38.092052 48.744982))",Ukrainian Advance 6/22,

