WKT,name,description
"POINT (37.967075975219 48.47485545687622)",Russian Tank Destroyed,
"POINT (35.3523532 46.8697217)",Ammo Warehouse Destroyed,unknown exactly where
"POINT (37.8485865 48.2770062)",Destruction of Russian Position,
"POINT (37.96337402228348 48.4855840318824)",Russian T-80BV Damaged,
"POINT (38.170249999999996 49.008472222222224)",Russian D-30 Destroyed,
"POINT (38.188588 48.762442)",Ukrainian Vehicle Destroyed,
"POINT (37.89787688972518 48.53204479813071)",Ukrainian BTR Destroyed,
"POINT (37.8755682 48.119008)",Strike,
"POINT (36.6604777 47.3415695)",Strike,Unknown where
"POINT (35.704071 47.2342439)",Strike,Unknown where
"POINT (36.2321845 47.4836275)",Strike,Unknown where, likely ammo depot
"POINT (37.9788522 48.5898188)",Ukrainian Shelling,
"POINT (37.3027206 47.7578014)",Ukrainian Shelling,
"POINT (37.3124068 47.7576291)",Ukrainian Shelling,
"POINT (37.9366745 48.5499562)",Russian Shelling,
"POINT (36.7145689 47.7978104)",Russians Shell Ukrainian Infantry. ,
"POINT (37.4927203 47.9897121)",Russian Shelling Ukrainian Mortar,
"POINT (38.1157925 48.8541893)",Russian Shelling of Ukrainian Position,
"POINT (35.7920658 47.5578255)",Airstrike,
"POINT (35.8811222 47.538525)",Airstrike,
"POINT (36.2878959 50.1454702)",Airstrike,
"POINT (38.2500118 48.9369534)",Airstrike,
"POINT (38.0813537 48.8033626)",Airstrike,
"POINT (38.1454281 48.801347)",Airstrike,
"POINT (37.8300599 48.3258173)",Airstrike,
"POINT (37.7373381 48.1457653)",Airstrike,
"POINT (37.4785489 47.9509775)",Airstrike,
"POINT (37.0692015 47.7762488)",Airstrike,
"POINT (36.7757483 47.7776288)",Airstrike,
"POINT (36.6051401 47.7398331)",Airstrike,
"POINT (35.9235616 47.5264251)",Airstrike,
